DATE,GDPC1_PCH
1947-04-01,-0.26522
1947-07-01,-0.20488
1947-10-01,1.56599
1948-01-01,1.50604
1948-04-01,1.65238
1948-07-01,0.57452
1948-10-01,0.11329
1949-01-01,-1.37661
1949-04-01,-0.33966
1949-07-01,1.03394
1949-10-01,-0.83781
1950-01-01,3.93169
1950-04-01,3.05093
1950-07-01,3.86507
1950-10-01,1.91496
1951-01-01,1.35796
1951-04-01,1.73213
1951-07-01,2.05999
1951-10-01,0.21895
1952-01-01,1.06693
1952-04-01,0.21430
1952-07-01,0.72123
1952-10-01,3.28395
1953-01-01,1.85904
1953-04-01,0.77309
1953-07-01,-0.56252
1953-10-01,-1.51372
1954-01-01,-0.47757
1954-04-01,0.10941
1954-07-01,1.12969
1954-10-01,1.95696
1955-01-01,2.85660
1955-04-01,1.62754
1955-07-01,1.35082
1955-10-01,0.60067
1956-01-01,-0.38804
1956-04-01,0.82658
1956-07-01,-0.08970
1956-10-01,1.64591
1957-01-01,0.64027
1957-04-01,-0.21914
1957-07-01,0.97992
1957-10-01,-1.03454
1958-01-01,-2.59590
1958-04-01,0.65690
1958-07-01,2.31311
1958-10-01,2.33823
1959-01-01,1.91841
1959-04-01,2.25343
1959-07-01,0.06973
1959-10-01,0.28498
1960-01-01,2.24863
1960-04-01,-0.53836
1960-07-01,0.48993
1960-10-01,-1.28313
1961-01-01,0.67502
1961-04-01,1.69785
1961-07-01,1.92037
1961-10-01,1.96167
1962-01-01,1.78366
1962-04-01,0.90475
1962-07-01,1.22957
1962-10-01,0.32940
1963-01-01,1.09209
1963-04-01,1.12241
1963-07-01,2.19883
1963-10-01,0.65590
1964-01-01,2.10871
1964-04-01,1.08907
1964-07-01,1.56260
1964-10-01,0.30919
1965-01-01,2.41991
1965-04-01,1.26347
1965-07-01,2.22316
1965-10-01,2.30390
1966-01-01,2.43384
1966-04-01,0.34147
1966-07-01,0.84683
1966-10-01,0.82040
1967-01-01,0.88579
1967-04-01,0.06135
1967-07-01,0.94608
1967-10-01,0.75385
1968-01-01,2.03927
1968-04-01,1.67037
1968-07-01,0.77452
1968-10-01,0.39277
1969-01-01,1.56443
1969-04-01,0.30335
1969-07-01,0.65995
1969-10-01,-0.48821
1970-01-01,-0.14889
1970-04-01,0.14172
1970-07-01,0.92147
1970-10-01,-1.07157
1971-01-01,2.71615
1971-04-01,0.54082
1971-07-01,0.82245
1971-10-01,0.23486
1972-01-01,1.83722
1972-04-01,2.26929
1972-07-01,0.94409
1972-10-01,1.67444
1973-01-01,2.47494
1973-04-01,1.08874
1973-07-01,-0.52584
1973-10-01,0.94923
1974-01-01,-0.85971
1974-04-01,0.23770
1974-07-01,-0.94528
1974-10-01,-0.38841
1975-01-01,-1.21763
1975-04-01,0.71470
1975-07-01,1.71204
1975-10-01,1.34709
1976-01-01,2.24947
1976-04-01,0.73337
1976-07-01,0.54741
1976-10-01,0.72260
1977-01-01,1.18623
1977-04-01,1.94192
1977-07-01,1.80316
1977-10-01,0.00199
1978-01-01,0.31984
1978-04-01,3.86477
1978-07-01,1.00575
1978-10-01,1.34413
1979-01-01,0.17959
1979-04-01,0.10675
1979-07-01,0.74280
1979-10-01,0.25005
1980-01-01,0.31457
1980-04-01,-2.06043
1980-07-01,-0.11885
1980-10-01,1.86492
1981-01-01,1.95942
1981-04-01,-0.74108
1981-07-01,1.19750
1981-10-01,-1.08960
1982-01-01,-1.55364
1982-04-01,0.45618
1982-07-01,-0.38227
1982-10-01,0.04001
1983-01-01,1.31779
1983-04-01,2.27552
1983-07-01,1.99895
1983-10-01,2.08618
1984-01-01,1.95479
1984-04-01,1.72776
1984-07-01,0.96401
1984-10-01,0.82077
1985-01-01,0.96898
1985-04-01,0.88047
1985-07-01,1.52727
1985-10-01,0.74345
1986-01-01,0.93375
1986-04-01,0.45030
1986-07-01,0.95667
1986-10-01,0.53639
1987-01-01,0.74184
1987-04-01,1.07818
1987-07-01,0.86718
1987-10-01,1.71696
1988-01-01,0.51688
1988-04-01,1.31403
1988-07-01,0.58597
1988-10-01,1.33246
1989-01-01,1.01639
1989-04-01,0.76310
1989-07-01,0.74074
1989-10-01,0.19698
1990-01-01,1.09288
1990-04-01,0.36297
1990-07-01,0.06658
1990-10-01,-0.91040
1991-01-01,-0.46794
1991-04-01,0.77969
1991-07-01,0.50536
1991-10-01,0.34854
1992-01-01,1.19725
1992-04-01,1.08430
1992-07-01,0.98811
1992-10-01,1.04286
1993-01-01,0.16694
1993-04-01,0.58217
1993-07-01,0.47715
1993-10-01,1.36015
1994-01-01,0.97036
1994-04-01,1.35518
1994-07-01,0.58458
1994-10-01,1.14557
1995-01-01,0.35478
1995-04-01,0.29832
1995-07-01,0.85073
1995-10-01,0.67908
1996-01-01,0.74905
1996-04-01,1.66794
1996-07-01,0.89703
1996-10-01,1.03837
1997-01-01,0.64544
1997-04-01,1.66522
1997-07-01,1.24857
1997-10-01,0.85386
1998-01-01,1.00375
1998-04-01,0.92569
1998-07-01,1.25894
1998-10-01,1.60920
1999-01-01,0.93943
1999-04-01,0.83474
1999-07-01,1.32588
1999-10-01,1.64067
2000-01-01,0.36279
2000-04-01,1.82129
2000-07-01,0.10193
2000-10-01,0.59704
2001-01-01,-0.32780
2001-04-01,0.62450
2001-07-01,-0.40064
2001-10-01,0.27478
2002-01-01,0.83636
2002-04-01,0.61271
2002-07-01,0.40651
2002-10-01,0.12361
2003-01-01,0.52664
2003-04-01,0.88562
2003-07-01,1.66320
2003-10-01,1.16072
2004-01-01,0.56665
2004-04-01,0.77495
2004-07-01,0.94859
2004-10-01,1.02021
2005-01-01,1.10936
2005-04-01,0.49262
2005-07-01,0.78381
2005-10-01,0.55552
2006-01-01,1.34538
2006-04-01,0.25875
2006-07-01,0.14996
2006-10-01,0.85945
2007-01-01,0.30084
2007-04-01,0.61176
2007-07-01,0.57603
2007-10-01,0.62824
2008-01-01,-0.42676
2008-04-01,0.59543
2008-07-01,-0.52526
2008-10-01,-2.18903
2009-01-01,-1.13487
2009-04-01,-0.17865
2009-07-01,0.35119
2009-10-01,1.08091
2010-01-01,0.48450
2010-04-01,0.96759
2010-07-01,0.77108
2010-10-01,0.52511
2011-01-01,-0.23720
2011-04-01,0.67658
2011-07-01,-0.02231
2011-10-01,1.12305
2012-01-01,0.83859
2012-04-01,0.44633
2012-07-01,0.14403
2012-10-01,0.11564
2013-01-01,0.98656
2013-04-01,0.26764
2013-07-01,0.85139
2013-10-01,0.87174
2014-01-01,-0.34510
2014-04-01,1.29184
