Table 1.12. National Income by Type of Income
Table 1.12. National Income by Type of Income
"Last Revised on: August 29, 2024 - Next Release Date September 26, 2024"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"        National income",94.2,83.1,67.7,51.3,48.9,58.3,66.3,75.1,83.7,77.0,82.4,91.5,117.3,152.4,187.2,200.9,201.3,201.3,218.7,244.8,239.7,266.6,307.6,326.1,343.8,343.8,376.9,400.1,418.5,420.8,458.8,478.9,496.0,534.0,565.4,607.0,658.8,718.1,758.4,830.2,897.3,937.5,1014.0,1119.5,1253.2,1346.4,1446.0,1609.4,1792.8,2022.7,2240.4,2418.8,2715.0,2834.7,3051.6,3434.1,3670.1,3831.4,4098.7,4471.8,4760.3,5014.0,5164.6,5475.6,5730.8,6115.3,6453.2,6871.7,7351.3,7826.9,8292.5,8874.0,9149.5,9398.6,9820.0,10500.2,11199.9,11947.7,12304.8,12364.9,12065.3,12794.8,13387.6,14064.8,14459.1,15164.6,15685.2,15975.3,16688.2,17570.8,18281.0,17854.0,19909.7,21678.4,22429.6
2,Compensation of employees,51.4,47.2,40.1,31.3,29.8,34.6,37.7,43.3,48.3,45.4,48.6,52.7,66.2,88.0,112.7,124.3,126.3,122.5,132.4,144.3,144.3,158.3,185.7,201.1,215.2,214.1,230.6,249.3,262.6,264.7,285.8,301.3,310.4,332.2,350.4,376.0,405.4,449.2,481.8,530.8,584.5,623.3,665.0,731.3,812.7,887.7,947.2,1048.3,1165.8,1316.8,1477.2,1622.2,1792.5,1893.0,2012.5,2215.9,2387.3,2542.1,2722.4,2948.0,3139.6,3340.4,3450.5,3668.2,3817.3,4006.2,4198.1,4416.9,4708.8,5071.1,5402.7,5847.1,6038.3,6135.1,6353.6,6719.5,7066.1,7479.7,7878.5,8056.8,7759.0,7925.4,8226.2,8567.4,8835.0,9250.2,9699.4,9966.1,10424.4,10957.4,11447.9,11594.7,12545.9,13439.2,14234.0
3,"    Wages and salaries",50.5,46.2,39.2,30.5,29.0,33.7,36.7,42.0,46.1,43.0,46.0,49.9,62.1,82.1,105.8,116.7,117.5,112.0,123.1,135.6,134.7,147.3,171.6,185.6,199.0,197.3,212.2,229.0,240.0,241.3,259.8,272.9,280.5,299.4,314.9,337.8,363.8,400.3,429.0,472.0,518.3,551.6,584.5,638.8,708.8,772.3,814.8,899.7,994.2,1120.6,1253.3,1373.4,1511.4,1587.5,1677.5,1844.9,1982.6,2102.3,2256.3,2439.8,2583.1,2741.2,2814.5,2965.5,3079.3,3236.6,3418.0,3616.5,3876.8,4181.6,4457.9,4824.9,4953.6,4995.8,5138.3,5421.0,5691.4,6056.7,6396.4,6534.1,6249.1,6372.5,6626.2,6928.1,7114.0,7476.3,7859.5,8091.2,8474.4,8899.8,9325.0,9464.6,10312.6,11116.0,11798.1
4,"        Government",5.0,5.2,5.3,5.0,5.2,6.1,6.5,7.9,7.5,8.3,8.2,8.5,10.2,16.0,26.6,33.0,34.9,20.7,17.5,19.0,20.8,22.6,29.2,33.4,34.3,34.9,36.6,38.8,41.0,44.1,46.1,49.2,52.5,56.3,60.0,64.9,69.9,78.4,86.5,96.7,105.6,117.2,126.8,137.9,148.8,160.5,176.2,188.9,202.6,220.0,237.1,261.5,285.8,307.5,324.8,348.1,373.9,397.2,423.1,452.0,481.1,519.0,548.8,572.0,589.0,609.5,629.0,648.1,671.9,701.3,733.8,779.8,822.0,872.9,914.0,952.3,991.3,1034.5,1088.5,1143.9,1175.2,1191.2,1194.9,1198.3,1208.0,1236.9,1275.8,1308.0,1348.2,1401.9,1450.7,1494.3,1546.3,1622.5,1734.4
5,"        Other",45.5,41.0,33.9,25.5,23.9,27.6,30.2,34.1,38.6,34.8,37.7,41.4,51.9,66.1,79.2,83.8,82.6,91.3,105.6,116.5,113.9,124.6,142.4,152.3,164.7,162.4,175.6,190.2,198.9,197.2,213.8,223.7,228.0,243.0,254.8,272.9,293.8,321.9,342.5,375.3,412.7,434.3,457.8,500.9,560.0,611.8,638.6,710.8,791.6,900.6,1016.2,1112.0,1225.5,1280.0,1352.7,1496.8,1608.7,1705.1,1833.2,1987.7,2101.9,2222.2,2265.7,2393.5,2490.3,2627.1,2789.0,2968.4,3205.0,3480.3,3724.2,4045.2,4131.6,4123.0,4224.3,4468.7,4700.1,5022.2,5307.8,5390.2,5073.9,5181.3,5431.3,5729.8,5906.0,6239.4,6583.7,6783.2,7126.2,7498.0,7874.3,7970.3,8766.4,9493.6,10063.7
6,"    Supplements to wages and salaries",0.9,1.0,0.9,0.8,0.8,0.8,0.9,1.3,2.2,2.4,2.6,2.9,4.1,5.9,6.9,7.6,8.8,10.5,9.3,8.8,9.6,11.0,14.1,15.5,16.3,16.9,18.4,20.2,22.6,23.4,26.0,28.4,29.9,32.8,35.6,38.2,41.7,48.9,52.8,58.8,66.1,71.8,80.4,92.5,103.9,115.4,132.4,148.6,171.7,196.2,223.9,248.8,281.2,305.5,335.0,371.0,404.8,439.7,466.1,508.2,556.6,599.2,636.0,702.7,737.9,769.6,780.1,800.5,832.0,889.5,944.8,1022.2,1084.7,1139.3,1215.3,1298.5,1374.7,1422.9,1482.1,1522.7,1509.9,1552.9,1600.0,1639.2,1721.0,1773.9,1839.9,1874.9,1950.0,2057.6,2123.0,2130.0,2233.2,2323.2,2436.0
7,"        Employer contributions for employee pension and insurance funds1",0.9,0.9,0.9,0.8,0.8,0.8,0.9,1.1,1.1,1.2,1.3,1.5,2.4,3.9,4.6,5.0,5.3,5.4,5.3,5.8,6.3,7.6,10.0,11.3,12.0,12.3,13.2,14.6,16.3,17.0,18.1,19.2,20.3,21.7,23.2,25.6,28.6,32.1,34.8,38.8,43.4,47.9,54.0,61.4,64.1,70.7,85.7,94.2,110.6,124.7,141.3,159.9,177.5,195.7,215.1,231.9,257.0,281.9,299.9,323.6,362.9,392.7,420.9,474.3,498.3,515.5,515.9,525.7,542.4,582.3,621.4,677.0,726.7,773.2,832.8,889.7,946.7,975.6,1020.4,1051.3,1051.8,1083.9,1107.3,1125.9,1194.7,1227.5,1270.6,1293.9,1345.3,1432.8,1472.4,1471.5,1526.8,1559.1,1620.7
8,"        Employer contributions for government social insurance",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.2,1.3,1.4,1.7,2.0,2.3,2.5,3.5,5.1,3.9,3.0,3.3,3.4,4.1,4.1,4.2,4.6,5.2,5.7,6.4,6.3,7.9,9.3,9.6,11.2,12.4,12.6,13.1,16.8,18.0,20.0,22.8,23.8,26.4,31.2,39.8,44.7,46.7,54.4,61.1,71.5,82.6,88.9,103.6,109.8,119.9,139.0,147.7,157.9,166.3,184.6,193.7,206.5,215.1,228.4,239.7,254.1,264.1,274.8,289.6,307.2,323.3,345.2,358.0,366.0,382.5,408.8,428.1,447.3,461.7,471.4,458.1,469.0,492.7,513.3,526.3,546.4,569.4,580.9,604.7,624.8,650.6,658.6,706.4,764.0,815.3
9,Proprietors' income with IVA and CCAdj,14.0,10.9,8.3,5.0,5.3,7.0,10.1,10.4,12.5,10.6,11.1,12.2,16.7,23.3,28.2,29.3,30.8,35.7,34.6,39.3,34.7,37.5,42.6,43.0,42.0,42.3,44.3,45.8,47.8,50.2,50.3,50.6,53.2,55.2,56.4,59.1,63.7,67.9,69.5,73.8,77.0,77.8,83.9,95.1,112.5,112.2,118.2,131.0,144.5,166.0,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.5,341.1,353.2,354.2,400.2,428.0,456.6,481.2,543.8,584.0,640.3,696.4,753.6,831.1,870.1,897.5,962.9,979.1,1050.9,995.4,960.3,938.1,1108.5,1228.3,1299.9,1351.7,1370.0,1347.7,1349.2,1428.6,1495.3,1554.1,1583.8,1749.1,1790.9,1848.4
