Table 5.1. Saving and Investment by Sector
Table 5.1. Saving and Investment by Sector
"Last Revised on: August 29, 2024 - Next Release Date September 26, 2024"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"        Gross saving",20.1,15.8,9.1,4.0,3.9,7.0,10.4,12.3,17.1,12.7,14.6,19.5,31.1,41.6,47.0,42.8,32.6,41.5,49.2,61.5,49.6,64.9,79.8,79.9,82.0,80.7,96.4,109.5,111.8,103.7,120.1,127.0,131.6,143.4,154.1,166.1,182.9,196.5,200.5,214.6,233.1,228.2,246.1,277.6,335.3,349.2,348.1,399.3,459.4,548.0,613.6,630.3,744.2,726.0,716.8,881.8,881.2,864.7,949.1,1076.8,1110.0,1113.6,1153.6,1148.0,1163.9,1295.8,1427.2,1580.0,1781.9,1931.7,2008.2,2126.2,2072.0,2000.3,1987.8,2157.8,2353.8,2642.3,2511.9,2211.8,1997.7,2300.7,2533.1,2972.4,3118.8,3446.2,3587.8,3473.7,3703.2,3950.8,4176.5,3936.9,4200.7,4699.9,4495.5
2,Net saving,9.7,5.6,-0.4,-4.4,-4.1,-1.4,1.9,3.5,7.4,2.7,4.5,8.9,19.1,26.7,29.0,21.5,9.4,15.8,20.1,30.2,17.3,31.5,42.0,39.3,38.5,34.7,47.5,55.4,52.9,41.3,54.6,59.1,61.0,69.3,76.1,83.7,94.9,101.2,96.9,101.2,108.2,91.4,97.2,116.6,156.6,142.3,109.6,139.1,169.6,220.8,239.7,201.9,257.0,189.1,154.2,283.4,241.0,179.4,218.7,292.3,271.7,225.0,221.2,187.8,160.4,240.2,304.8,404.7,542.5,622.0,609.3,614.9,472.5,342.3,268.7,336.0,382.8,518.2,259.1,-147.2,-373.5,-89.6,58.8,396.9,437.2,626.5,664.9,465.6,554.2,638.2,696.7,311.3,327.4,400.0,-90.3
3,"    Net private saving",7.6,4.5,1.2,-3.2,-3.1,0.1,3.2,5.1,5.8,2.8,5.3,8.3,16.9,37.0,45.0,49.8,40.4,23.1,17.6,29.1,25.2,29.3,35.9,39.5,40.3,40.7,45.8,51.0,52.9,52.1,56.4,56.4,63.5,71.6,75.0,86.6,96.8,103.4,112.5,111.5,110.3,124.8,149.4,159.6,189.3,186.0,218.3,224.4,242.5,278.0,288.3,296.5,355.3,379.2,379.8,480.1,442.7,399.3,398.8,463.6,450.4,464.6,529.8,593.4,546.6,560.1,617.7,638.3,676.9,651.3,579.8,496.7,577.3,793.8,848.2,879.2,780.2,826.1,649.2,699.8,1211.9,1537.7,1570.0,1754.4,1337.1,1458.0,1438.9,1375.1,1515.9,1744.5,1947.0,3257.6,2823.9,1401.8,1724.0
4,"        Domestic business",3.7,1.2,-1.6,-3.1,-2.7,-0.8,0.2,0.3,0.9,0.8,1.4,3.0,3.7,5.1,6.4,7.4,5.2,3.6,6.6,11.9,11.6,9.3,10.1,11.7,11.1,12.6,17.6,16.4,16.0,13.3,19.2,18.5,19.2,24.9,27.9,31.4,38.0,41.6,39.5,38.6,34.2,27.2,37.5,48.0,53.5,39.7,54.3,70.0,86.6,102.9,101.5,71.6,91.7,88.0,115.1,153.8,159.7,110.6,138.2,146.5,115.0,104.0,128.8,142.9,154.0,202.9,238.7,268.3,305.2,226.7,264.0,179.9,214.1,342.2,408.3,462.2,571.0,550.1,385.7,248.3,587.0,866.2,793.7,777.8,721.4,746.0,648.3,628.9,674.2,747.8,756.1,579.1,703.4,779.0,824.1
5,"            Undistributed corporate profits",3.7,-1.8,-4.0,-4.3,-0.7,-0.1,0.6,1.2,1.5,0.4,2.6,3.8,6.7,6.8,7.3,7.2,5.1,10.9,15.0,17.0,12.6,17.0,14.3,13.3,14.0,13.9,18.9,19.4,18.0,14.5,19.7,17.7,17.1,20.1,21.8,25.1,31.8,35.8,33.2,34.7,32.4,27.2,36.1,46.7,66.3,75.5,70.2,91.9,109.3,134.8,153.6,130.8,120.8,90.4,99.2,114.1,94.9,52.4,103.1,120.4,90.1,90.3,105.5,128.3,135.4,179.8,217.7,217.6,232.3,146.4,195.0,139.9,144.5,218.7,321.8,430.2,747.2,747.6,604.1,341.5,667.0,970.5,801.4,935.5,860.4,887.5,712.7,724.5,744.1,700.2,660.8,690.7,1029.8,1093.3,1125.8
6,"            Inventory valuation adjustment, corporate",0.5,3.3,2.4,1.0,-2.1,-0.6,-0.2,-0.7,0.0,1.0,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5.0,-1.2,1.0,-1.0,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0.0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4.0,0.0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4.0,-12.4,-18.3,3.1,14.1,15.7,-4.0,-16.8,8.0,8.9,-14.5,-40.2,-36.0,-31.9,-43.6,-34.8,2.6,-47.6,-68.0,-11.4,13.9,1.8,57.9,5.2,-47.6,-51.0,1.7,-16.7,-257.1,-96.2,39.6
7,"            Capital consumption adjustment, corporate",-0.6,-0.3,0.0,0.1,0.1,-0.1,-0.1,-0.1,-0.5,-0.6,-0.5,-0.6,-0.6,-0.5,-0.2,0.5,0.6,-2.1,-2.6,-3.0,-2.8,-2.8,-3.0,-2.6,-1.9,-1.0,0.5,-0.3,-0.5,-0.9,-0.2,1.0,1.8,4.8,6.0,6.8,7.4,7.8,7.8,7.5,7.6,6.5,6.0,7.9,6.8,2.4,-5.4,-7.8,-7.0,-8.1,-12.0,-17.1,-4.5,5.0,23.3,43.6,64.8,51.1,51.4,48.3,41.2,26.6,18.3,17.4,22.6,35.5,39.2,47.7,58.7,64.6,73.0,56.8,61.6,114.6,101.0,72.2,-140.1,-165.6,-174.7,-58.3,-82.6,-56.6,60.2,-146.2,-152.9,-143.3,-122.3,-100.9,-22.3,98.6,93.6,-94.9,-69.3,-218.0,-341.3
8,"        Households and institutions",4.0,3.3,2.8,-0.1,-0.3,0.9,3.0,4.8,4.9,2.0,3.9,5.3,13.3,31.9,38.6,42.4,35.2,19.6,11.0,17.2,13.6,20.0,25.9,27.8,29.2,28.1,28.2,34.7,36.9,38.8,37.2,37.9,44.4,46.7,47.1,55.3,58.8,61.9,73.0,72.9,76.1,97.6,111.9,111.5,135.8,146.3,164.0,154.4,155.9,175.1,186.8,224.9,263.6,291.2,264.7,326.3,282.9,288.7,260.6,317.1,335.4,360.6,401.0,450.5,392.6,357.2,379.0,369.9,371.8,424.6,315.8,316.8,363.2,451.6,439.9,417.0,209.2,276.0,263.4,451.5,624.9,671.4,776.3,976.5,615.7,712.0,790.6,746.2,841.6,996.7,1190.9,2678.6,2120.5,622.8,899.8
9,"            Personal saving",4.0,3.3,2.8,-0.1,-0.3,0.9,3.0,4.8,4.9,2.0,3.9,5.3,13.3,31.9,38.6,42.4,35.2,19.6,11.0,17.2,13.6,20.0,25.9,27.8,29.2,28.1,28.2,34.7,36.9,38.8,37.2,37.9,44.4,46.7,47.1,55.3,58.8,61.9,73.0,72.9,76.1,97.6,111.9,111.5,135.8,146.3,164.0,154.4,155.9,175.1,186.8,224.9,263.6,291.2,264.7,326.3,282.9,288.7,260.6,317.1,335.4,360.6,401.0,450.5,392.6,357.2,379.0,369.9,371.8,424.6,315.8,316.8,363.2,451.6,439.9,417.0,209.2,276.0,263.4,451.5,624.9,671.4,776.3,976.5,615.7,712.0,790.6,746.2,841.6,996.7,1190.9,2678.6,2120.5,622.8,899.8
