Table 4.1. Foreign Transactions in the National Income and Product Accounts
Table 4.1. Foreign Transactions in the National Income and Product Accounts
"Last Revised on: August 29, 2024 - Next Release Date September 26, 2024"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"        Current receipts from the rest of the world",7.1,5.5,3.7,2.5,2.4,3.0,3.3,3.6,4.8,4.5,4.7,5.5,6.2,5.1,4.7,5.6,7.5,15.2,20.3,17.6,16.4,14.5,19.9,19.3,18.2,18.9,21.2,25.2,28.3,24.4,27.0,31.9,32.9,35.0,37.6,42.3,45.0,49.0,52.2,58.0,63.7,72.5,77.0,87.1,118.8,156.5,166.7,181.9,196.5,233.1,298.5,359.9,397.3,384.2,378.9,424.2,415.9,432.3,487.2,596.7,682.0,740.7,763.3,785.1,810.4,905.5,1042.6,1114.0,1233.9,1239.8,1355.2,1527.8,1411.6,1390.6,1478.5,1705.6,1940.9,2247.7,2584.4,2779.9,2362.1,2714.1,3049.8,3161.8,3266.0,3405.9,3269.3,3275.1,3585.1,3830.7,3875.2,3315.6,3842.5,4441.7,4676.8
2,Exports of goods and services,5.9,4.4,2.9,2.0,2.0,2.6,2.8,3.0,4.0,3.8,4.0,4.9,5.5,4.4,4.0,4.9,6.8,14.2,18.7,15.5,14.5,12.4,17.1,16.5,15.3,15.8,17.7,21.3,24.0,20.6,22.7,27.0,27.6,29.1,31.1,35.0,37.1,40.9,43.5,47.9,51.9,59.7,63.0,70.8,95.3,126.7,138.7,149.5,159.3,186.9,230.1,280.8,305.2,283.2,277.0,302.4,303.2,321.0,363.9,444.6,504.3,551.9,594.9,633.1,654.8,720.9,812.8,867.6,953.8,953.0,992.9,1096.1,1026.8,998.0,1035.2,1176.4,1301.6,1470.2,1659.3,1835.3,1582.8,1857.2,2115.9,2217.7,2287.9,2378.5,2270.6,2235.6,2388.3,2538.1,2538.5,2150.1,2550.0,2995.0,3027.2
3,"    Goods1",5.3,3.9,2.5,1.7,1.7,2.2,2.4,2.6,3.5,3.2,3.3,4.1,4.5,3.4,2.9,3.6,5.4,11.8,16.1,13.3,12.2,10.2,14.2,13.4,12.4,12.9,14.4,17.6,19.6,16.4,16.5,20.5,20.9,21.7,23.3,26.8,28.0,31.1,32.5,35.7,38.7,45.0,46.2,52.6,75.8,103.5,112.5,121.5,128.4,149.9,187.3,230.4,245.2,222.6,214.0,231.3,227.5,231.4,265.6,332.1,374.8,403.3,430.1,455.3,467.7,518.4,592.4,628.8,699.9,692.6,711.7,795.1,739.6,706.6,733.9,828.0,919.3,1043.1,1159.7,1291.0,1057.4,1272.9,1468.5,1529.6,1563.9,1617.0,1496.7,1447.6,1546.7,1669.3,1644.8,1421.6,1746.0,2063.2,2031.3
4,"        Durable",2.2,1.5,0.9,0.5,0.5,0.8,1.0,1.1,1.7,1.5,1.7,2.6,2.9,2.3,2.0,2.4,2.8,5.0,8.5,6.6,6.1,5.1,6.6,6.9,6.9,7.1,8.2,9.8,10.9,9.0,8.9,11.3,11.5,12.0,12.7,14.7,15.8,17.7,18.6,21.2,23.9,27.4,27.9,31.4,42.3,57.7,65.2,70.9,74.4,87.5,109.6,135.7,143.2,128.4,123.8,135.2,139.9,145.3,166.9,211.9,242.5,265.3,285.6,304.2,317.9,353.8,398.6,426.4,488.4,492.4,508.7,572.3,523.2,489.5,498.0,562.5,626.2,711.8,779.6,825.3,667.8,798.1,894.8,941.7,957.7,994.0,955.2,927.3,962.5,1008.8,985.3,830.0,965.8,1064.0,1115.2
5,"        Nondurable",3.1,2.4,1.6,1.2,1.2,1.4,1.5,1.5,1.7,1.7,1.7,1.6,1.7,1.1,0.9,1.2,2.5,6.7,7.6,6.6,6.1,5.1,7.6,6.5,5.5,5.8,6.2,7.8,8.6,7.4,7.5,9.2,9.4,9.7,10.7,12.1,12.1,13.4,13.9,14.5,14.8,17.7,18.3,21.2,33.5,45.8,47.3,50.6,54.0,62.4,77.6,94.8,102.0,94.1,90.3,96.1,87.6,86.1,98.6,120.1,132.2,138.0,144.6,151.1,149.9,164.6,193.8,202.4,211.5,200.2,203.0,222.8,216.4,217.1,235.8,265.5,293.2,331.3,380.2,465.7,389.6,474.8,573.7,587.9,606.1,623.0,541.5,520.3,584.1,660.5,659.4,591.6,780.1,999.2,916.0
6,"    Services1",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.6,0.8,0.9,1.0,1.1,1.3,1.4,2.4,2.6,2.3,2.3,2.1,2.9,3.0,2.9,2.9,3.3,3.7,4.5,4.1,6.3,6.6,6.7,7.4,7.7,8.3,9.2,9.8,10.9,12.2,13.2,14.7,16.8,18.3,19.5,23.2,26.2,28.0,30.9,37.0,42.9,50.3,60.0,60.7,62.9,71.1,75.7,89.6,98.4,112.5,129.5,148.6,164.8,177.7,187.1,202.6,220.4,238.8,253.9,260.4,281.2,301.1,287.2,291.4,301.3,348.4,382.2,427.1,499.6,544.3,525.4,584.3,647.4,688.1,724.1,761.6,773.9,788.0,841.6,868.8,893.7,728.5,804.1,931.8,996.0
7,Income receipts,1.1,1.0,0.8,0.5,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,1.1,1.6,2.0,1.9,2.2,2.8,2.9,2.8,3.0,3.5,3.9,4.3,3.9,4.3,4.9,5.3,5.9,6.5,7.2,7.9,8.1,8.7,10.1,11.8,12.8,14.0,16.3,23.5,29.8,28.0,32.4,37.2,46.3,68.3,79.1,92.0,101.0,101.9,121.9,112.7,111.3,123.3,152.1,177.7,188.8,168.4,152.1,155.6,184.5,229.8,246.4,280.1,286.8,324.6,390.6,339.6,335.8,377.4,464.7,569.3,702.6,850.2,855.2,689.3,760.0,827.9,827.4,847.2,881.5,860.6,892.9,1031.1,1138.7,1174.7,993.0,1112.1,1252.6,1457.1
8,"    Wage and salary receipts",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.9,1.0,1.0,1.0,1.2,1.3,1.8,1.8,1.9,2.2,2.2,2.3,2.4,4.2,4.4,4.5,4.6,4.7,4.7,4.8,5.1,5.2,5.4,5.7,5.9,6.1,6.3,6.6,6.5,6.6,6.3,6.3,6.9,7.1,6.8,7.2,7.4,7.5
9,"    Income receipts on assets",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.9,1.8,2.1,2.6,2.7,2.7,2.9,3.4,3.8,4.1,3.7,4.1,4.7,5.1,5.8,6.4,7.1,7.7,7.9,8.5,9.9,11.5,12.6,13.7,16.0,23.2,29.5,27.7,32.0,36.8,45.8,67.9,78.6,91.5,100.5,101.3,121.2,112.0,110.4,122.3,151.1,176.7,187.7,167.1,150.3,153.8,182.6,227.7,244.2,277.8,284.3,320.4,386.2,335.1,331.2,372.7,460.0,564.5,697.6,845.0,849.9,683.5,754.0,821.8,821.1,840.6,875.0,854.0,886.6,1024.8,1131.7,1167.7,986.1,1105.0,1245.2,1449.6
10,"        Interest",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.6,0.7,0.9,1.1,1.3,1.5,1.7,1.9,2.2,2.5,2.9,3.5,3.9,4.0,4.2,5.7,9.1,9.8,11.0,13.0,16.8,25.3,34.8,53.4,63.8,60.2,75.1,65.2,61.7,63.4,79.5,101.2,106.8,91.6,71.9,64.8,78.1,100.3,104.9,122.3,137.6,143.7,184.7,152.4,126.4,124.6,135.9,190.1,276.0,343.6,276.0,186.6,174.1,180.7,172.2,174.4,181.6,183.9,194.4,220.6,266.3,284.1,217.7,201.6,280.5,437.6
11,"        Dividends",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.1,1.1,1.3,1.5,1.4,1.5,1.7,1.9,2.2,2.3,2.1,2.3,2.4,2.9,3.2,3.2,3.8,4.0,3.6,3.9,4.2,4.8,5.0,6.1,6.5,8.6,11.6,8.6,11.7,14.1,14.7,19.9,21.5,20.7,23.9,19.5,19.7,21.0,27.9,27.9,45.1,47.9,43.7,41.4,44.7,39.5,59.7,58.6,69.1,80.0,83.2,92.7,86.3,87.4,92.8,101.0,135.6,363.3,186.0,249.0,316.4,237.2,248.0,298.6,331.6,318.0,355.5,352.1,379.5,420.5,1126.9,705.7,559.5,581.4,602.8,685.6
12,"        Reinvested earnings on U.S. direct investment abroad",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.6,0.4,0.5,0.8,0.9,0.8,0.7,1.0,1.2,1.4,0.9,1.1,1.4,1.2,1.3,1.6,1.6,1.7,2.0,2.0,2.8,3.2,3.6,3.7,5.2,9.0,8.8,9.3,9.3,9.6,14.3,22.7,22.4,17.3,12.8,21.6,26.5,25.8,20.8,31.0,26.5,27.6,37.3,34.0,33.6,49.5,44.9,68.8,70.3,75.5,63.5,84.0,115.2,95.3,112.1,147.1,188.4,11.0,235.5,252.4,257.5,259.8,331.9,342.5,317.2,348.2,337.9,318.0,312.7,383.7,-261.4,177.9,208.9,322.0,361.9,326.3
13,"Current taxes, contributions for government social insurance, and transfer receipts from the rest of the world2",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,37.7,41.1,45.2,56.8,66.0,64.5,70.0,74.9,74.9,89.4,90.1,96.8,106.1,116.7,130.9,145.8,138.1,146.7,165.7,153.9,162.0,172.5,180.3,194.0,192.4
14,"    To persons",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4.0,4.1,3.9,4.0,5.5,5.6,7.9,7.5,6.1,7.5,5.6,6.5,6.1,7.3,7.0,7.5,7.0,9.1,9.0,8.4,9.3,9.0,7.3,7.4,7.2
15,"    To business",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,23.1,25.0,28.8,40.4,46.6,43.7,44.0,47.8,48.5,57.0,63.6,67.8,78.4,81.6,92.9,95.5,96.6,103.5,116.7,102.9,112.3,127.0,132.0,134.2,136.9
16,"    To government",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,10.6,12.0,12.5,12.4,13.9,15.3,18.1,19.6,20.3,25.0,21.0,22.5,21.5,27.8,31.1,42.9,34.6,34.1,40.0,42.6,40.4,36.5,41.0,52.4,48.3
