Table 5.1. Saving and Investment by Sector
Table 5.1. Saving and Investment by Sector
"Last Revised on: September 26, 2024 - Next Release Date October 30, 2024"
Line,,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969,1970,1970,1970,1970,1971,1971,1971,1971,1972,1972,1972,1972,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
1,"        Gross saving",47.1,46.7,49.1,54.0,59.0,62.7,62.0,62.4,54.7,48.6,50.1,44.8,53.2,61.7,67.1,77.6,74.3,82.5,80.7,81.5,82.0,76.0,79.3,82.3,84.0,84.2,83.7,76.0,78.9,79.2,80.2,84.7,89.9,95.4,97.8,102.3,105.6,107.5,111.6,113.4,114.3,114.4,114.2,104.3,100.1,96.8,105.0,113.1,117.8,124.9,117.3,120.3,132.9,126.3,127.1,121.5,124.6,127.0,134.6,140.2,141.6,142.0,144.4,145.5,149.1,153.8,154.7,158.9,161.9,163.0,166.4,172.9,180.8,182.7,183.3,185.0,194.3,194.9,195.3,201.4,197.6,194.0,201.9,208.5,207.0,213.6,215.5,222.1,231.0,231.3,237.7,232.5,226.9,229.8,231.3,224.9,238.7,243.2,249.0,253.6,263.0,265.7,279.8,302.1,316.0,324.8,339.0,361.4,355.8,346.4,345.9,348.7,329.8,330.0,360.1,372.6,392.0,399.3,402.1,403.8,416.0,454.4,479.3,488.0,500.5,540.6,561.5,589.4,608.9,612.5,615.0,617.9,611.8,608.2,624.9,676.3,708.1,719.9,776.3,772.6,737.0,762.2,730.8,674.1,691.8,701.0,703.3,771.1,854.5,873.7,898.3,900.6,889.6,887.5,866.2,881.3,895.8,871.3,838.9,852.9,898.2,926.9,961.4,1010.0,1030.0,1069.2,1096.4,1111.7,1145.2,1104.8,1100.7,1089.1,1102.8,1135.0,1105.9,1110.6,1200.2,1145.0,1122.7,1146.6,1156.1,1175.4,1126.0,1134.7,1131.5,1168.5,1144.1,1211.5,1233.0,1297.3,1306.9,1346.1,1395.0,1395.0,1437.9,1480.8,1521.0,1561.2,1597.2,1640.4,1697.0,1768.3,1820.1,1842.0,1906.6,1917.6,1960.9,1941.9,2050.3,1990.3,1979.6,2012.7,2123.2,2121.7,2153.6,2106.1,2157.7,2146.0,2056.9,1927.5,1986.2,1995.2,1986.3,2033.6,1942.6,1968.9,1985.5,2054.4,2072.0,2157.0,2229.8,2172.3,2281.7,2306.6,2331.7,2495.4,2644.4,2652.0,2638.5,2634.4,2559.4,2619.5,2474.0,2394.7,2307.3,2189.1,2229.0,2121.7,1983.4,1962.8,1934.5,2110.3,2137.7,2238.2,2407.8,2419.3,2376.2,2471.2,2574.2,2711.0,2933.4,2990.8,2875.4,3090.2,3027.8,3123.1,3137.5,3186.6,3258.4,3454.0,3521.1,3551.1,3626.4,3619.7,3546.3,3558.9,3531.2,3414.5,3423.9,3525.2,3624.1,3646.8,3742.5,3799.4,3842.8,3906.9,4006.8,4046.8,4251.2,4165.2,4114.3,4122.8,4251.2,3422.9,3642.0,4257.0,4118.6,3947.3,4140.5,4477.7,4643.7,4705.6,4914.3,4788.9,4661.8,4755.1,4804.8,5021.6,5103.2,5200.8
2,Net saving,19.1,18.0,19.6,23.8,28.4,31.6,30.3,30.4,22.5,16.3,17.8,12.4,20.7,28.9,33.5,42.8,38.0,45.2,42.5,42.5,42.4,35.8,38.3,40.6,41.5,40.9,39.9,31.6,33.9,33.5,33.9,37.7,42.4,47.2,48.5,51.7,53.5,54.0,56.8,57.4,57.0,56.0,54.7,43.9,39.0,34.8,42.0,49.3,53.3,59.8,51.5,53.9,65.9,58.7,58.9,52.6,55.2,56.8,63.6,68.5,68.9,68.5,69.9,69.9,72.6,76.3,76.2,79.4,81.3,81.3,83.4,88.6,95.1,95.6,94.5,94.5,102.0,100.5,99.0,103.1,97.3,91.7,97.3,101.5,97.5,101.7,101.0,104.7,110.5,107.8,111.4,103.2,94.7,94.5,93.0,83.4,94.1,95.6,98.6,100.5,107.0,106.7,117.1,135.7,145.5,149.4,157.7,173.8,161.5,144.3,134.8,128.7,101.1,94.2,118.0,125.2,140.1,142.6,139.4,134.2,138.4,168.7,185.5,185.7,188.9,218.6,229.5,246.2,254.2,245.3,234.7,224.7,205.1,187.2,189.5,225.7,242.6,239.4,281.8,264.2,215.1,228.3,188.1,124.8,139.4,141.9,137.1,198.2,272.3,282.2,295.1,283.9,265.9,253.0,221.0,224.1,227.6,191.3,147.9,150.8,185.6,203.1,225.3,260.9,266.2,291.5,305.0,306.6,326.8,273.1,255.8,231.1,232.7,252.8,210.9,203.7,281.2,216.0,185.0,202.7,208.0,220.2,162.6,160.4,145.4,171.0,135.5,189.9,199.7,250.4,244.6,266.2,295.8,279.2,307.2,336.9,365.4,393.6,415.3,444.2,483.7,537.1,572.3,577.1,625.2,617.5,642.1,603.1,691.6,607.1,569.0,569.5,644.2,615.6,628.6,571.3,591.3,552.0,445.3,301.5,348.7,345.9,321.9,352.9,247.6,260.1,259.7,307.5,298.0,353.4,394.7,297.7,370.0,357.7,342.0,461.4,574.0,544.9,497.4,456.4,344.7,378.5,208.4,104.9,-12.5,-158.1,-147.1,-271.1,-404.1,-406.3,-424.5,-259.3,-236.9,-144.5,16.0,6.8,-61.0,7.6,86.6,201.9,395.1,426.9,285.2,480.3,394.6,458.8,442.7,452.5,483.7,652.2,683.0,687.0,735.2,706.8,609.5,608.0,569.7,419.6,403.7,469.4,534.7,517.8,572.1,592.5,593.3,611.7,672.4,675.5,832.9,702.4,614.5,593.6,681.0,-177.8,5.4,570.5,387.8,134.1,226.0,450.6,488.7,426.9,535.0,348.3,151.2,196.2,191.7,353.2,389.1,419.8
3,"    Net private saving",16.5,15.7,19.9,18.3,23.6,29.0,31.4,32.6,27.9,24.9,26.6,21.5,32.3,29.8,23.1,32.0,23.6,38.5,41.6,40.1,39.4,36.9,40.9,40.8,41.2,41.4,40.2,38.4,41.2,39.8,39.7,42.1,43.7,45.8,46.8,47.2,48.3,50.2,52.5,53.1,53.3,54.7,53.8,49.6,48.2,48.9,53.6,57.9,56.6,59.7,53.3,56.2,58.6,55.0,56.8,55.1,57.8,61.3,66.1,68.9,71.5,71.3,71.4,72.3,73.1,74.3,74.3,78.4,82.8,87.6,86.2,90.0,92.6,93.9,100.2,100.3,101.4,101.2,102.0,109.1,112.0,108.2,112.6,117.0,111.0,116.0,107.8,111.2,105.5,106.4,116.5,112.7,113.9,125.0,131.2,129.0,141.4,149.4,152.1,154.6,152.4,148.8,157.8,179.3,177.1,184.4,190.7,205.2,196.7,183.1,173.6,190.5,189.7,237.9,218.6,226.9,228.6,224.7,225.3,219.1,214.5,237.0,257.7,260.9,266.8,271.3,283.5,290.3,299.3,289.4,283.5,280.9,274.8,289.5,300.9,321.1,321.4,327.4,379.1,393.1,371.7,393.1,391.1,360.8,377.9,365.3,370.6,405.3,456.0,470.5,497.8,496.0,436.4,475.1,424.9,434.2,432.4,424.1,382.7,358.2,401.6,353.7,396.3,443.8,446.3,465.3,465.8,477.0,475.6,447.5,440.5,437.9,456.3,493.2,448.9,460.0,522.0,521.1,516.6,559.3,598.9,618.2,582.9,573.5,565.0,555.7,529.3,536.2,535.3,555.3,558.8,590.8,617.6,605.5,625.9,621.9,647.2,632.2,638.3,635.4,653.4,687.5,678.6,688.2,681.0,662.6,654.4,607.3,679.5,583.7,537.7,518.3,496.4,496.2,516.5,477.6,543.5,564.7,705.3,495.6,740.9,793.9,784.3,856.0,791.5,844.2,897.1,859.8,885.6,914.6,912.2,804.6,779.5,771.9,750.6,819.0,886.1,842.2,805.0,770.9,666.7,714.3,627.9,587.7,561.5,786.1,721.1,730.5,1028.3,1230.5,1239.7,1349.2,1442.5,1515.7,1616.9,1575.6,1464.3,1540.8,1594.6,1680.0,1787.0,1803.4,1661.4,1765.5,1429.3,1235.5,1424.9,1258.6,1297.0,1456.2,1542.6,1536.4,1539.2,1484.4,1424.0,1307.8,1453.4,1335.6,1323.0,1388.3,1483.5,1504.4,1542.9,1532.7,1643.5,1721.9,1764.2,1848.3,2068.2,1915.8,1897.1,1860.7,2015.2,4797.8,3563.7,2670.5,4688.3,2728.1,2300.8,1854.9,1221.7,1181.8,1542.8,1580.5,1833.7,1925.5,1961.7,2083.3,2189.0,2277.0
4,"        Domestic business",3.9,7.2,7.3,7.9,10.8,12.3,11.5,13.1,12.7,11.7,12.7,9.3,8.1,9.2,9.4,10.5,6.1,9.7,12.4,12.2,12.1,10.8,10.9,13.1,13.3,11.6,11.0,8.5,10.7,12.1,12.7,14.8,17.4,18.3,17.2,17.6,16.2,16.0,17.0,16.3,17.2,16.6,16.0,14.0,11.0,11.7,13.7,16.9,18.7,20.9,18.3,19.0,20.3,18.5,18.2,17.1,16.0,18.7,19.9,21.9,24.1,23.9,24.7,27.0,26.9,27.9,28.3,28.5,31.7,31.3,31.4,31.0,37.1,37.7,37.6,39.7,41.9,41.3,40.4,42.6,39.8,38.3,38.7,41.1,36.8,39.2,39.0,39.3,38.1,35.8,34.0,29.0,25.7,29.6,28.4,25.1,33.8,35.2,38.4,42.5,45.0,46.3,49.1,51.7,55.4,51.7,54.0,52.9,48.0,43.5,33.4,33.9,41.0,49.5,59.7,66.8,72.3,69.9,69.9,68.0,72.6,86.6,97.3,89.8,89.2,103.7,107.0,111.8,104.5,104.5,101.4,95.5,77.7,64.5,66.1,78.2,85.8,87.6,98.5,94.9,81.7,94.2,90.1,86.0,98.8,112.1,117.8,131.7,146.9,148.8,156.4,162.9,157.6,160.3,169.9,151.0,130.1,113.7,103.2,95.5,111.6,136.8,151.8,152.9,150.7,149.1,137.3,148.8,121.1,120.1,120.5,98.3,107.9,120.9,87.8,99.2,133.3,130.0,125.0,127.0,145.6,145.3,135.4,145.2,134.6,146.3,162.3,172.7,190.7,196.9,207.7,216.1,210.6,233.2,252.5,258.4,276.0,265.6,260.9,270.8,291.5,302.9,319.2,307.2,229.3,227.1,231.0,219.5,279.0,279.0,254.9,243.1,199.7,181.1,180.2,158.5,185.0,223.0,210.9,237.6,303.9,319.1,342.7,402.9,365.9,414.0,427.2,426.0,483.4,467.1,506.6,391.7,550.2,564.9,583.3,585.7,576.3,548.5,563.1,512.6,387.2,418.0,378.1,359.6,260.8,273.7,334.8,124.1,411.9,487.4,687.1,761.6,840.6,813.0,920.1,891.2,690.6,791.6,808.7,883.8,877.4,829.4,801.5,603.1,839.3,584.7,772.8,688.9,629.2,741.1,827.6,786.4,710.9,703.1,658.0,521.2,645.2,609.1,609.7,651.5,694.5,632.3,659.8,710.2,763.3,781.9,735.7,710.3,751.6,737.7,779.8,760.1,532.9,367.9,927.9,582.3,820.4,891.4,780.4,697.2,617.6,780.8,950.0,913.9,883.1,892.4,1018.8,1141.0,1040.9,1145.5
5,"            Undistributed corporate profits",15.9,14.4,14.0,15.9,16.6,18.1,17.3,16.2,14.3,11.8,12.5,11.9,11.6,15.2,19.4,21.8,17.7,13.7,11.9,13.6,13.6,12.3,12.7,14.7,15.8,15.1,14.8,10.1,12.2,13.4,14.2,15.8,18.3,18.7,18.8,19.9,19.1,19.9,18.6,19.8,20.1,18.6,17.8,15.6,12.1,12.4,14.9,18.6,19.9,22.2,18.7,17.8,20.5,18.1,16.6,15.6,15.0,16.4,17.7,19.4,19.9,19.4,20.2,20.9,20.1,21.7,22.4,23.0,25.4,24.8,25.5,24.6,30.3,31.4,31.7,34.0,35.4,36.1,36.1,35.7,32.2,31.7,32.6,36.2,33.9,34.7,34.5,35.8,35.3,33.3,31.3,29.9,27.4,27.4,28.3,25.6,31.7,34.2,38.0,40.4,43.5,44.2,46.7,52.5,63.4,65.6,66.1,69.9,75.0,76.7,81.7,68.7,56.3,61.4,77.8,85.2,90.8,92.6,93.0,91.2,101.3,108.8,113.6,113.4,117.4,134.7,138.7,148.3,149.2,155.3,158.2,151.8,148.9,117.1,125.9,131.5,132.7,117.5,119.2,113.9,93.9,96.1,90.4,81.5,80.6,98.1,107.0,111.1,118.9,118.7,109.9,109.1,95.0,93.5,95.7,95.3,54.1,48.5,49.1,58.0,75.1,104.3,115.5,117.3,118.7,125.7,115.9,121.2,109.6,95.9,80.7,74.1,79.6,91.0,93.4,97.1,101.8,102.7,106.0,111.6,126.5,138.7,121.3,126.6,121.7,131.8,138.3,149.6,167.3,172.1,186.2,193.6,205.2,223.0,222.9,219.8,230.4,221.1,207.3,211.6,217.4,229.0,244.0,239.0,153.4,148.8,146.6,136.6,181.4,200.2,195.6,202.6,162.1,144.5,135.1,117.9,154.4,179.4,132.6,111.3,139.6,185.8,240.1,309.2,298.1,309.0,332.2,347.8,421.0,434.6,477.7,387.5,712.2,724.6,767.0,785.1,755.2,762.7,770.4,702.2,602.9,638.6,574.5,600.4,430.2,478.9,458.6,-1.8,412.3,560.2,783.4,912.2,983.3,950.8,995.5,952.3,769.4,814.0,785.0,837.3,1055.2,960.1,974.8,751.9,970.9,705.2,914.9,850.6,824.7,891.9,949.6,883.7,761.3,802.4,720.7,566.5,673.7,741.3,712.4,770.6,828.8,755.3,794.4,598.0,721.9,774.3,678.0,626.6,663.4,636.2,662.7,683.5,562.4,417.9,1074.3,805.3,1060.1,1208.3,1072.5,947.3,949.6,1136.9,1089.7,938.6,1017.5,1046.1,1180.7,1278.9,1319.2,1417.0
6,"            Inventory valuation adjustment, corporate",-9.7,-4.7,-4.0,-5.2,-2.9,-2.9,-2.8,-0.1,1.4,2.8,3.0,0.2,-0.7,-3.3,-7.3,-8.5,-8.7,-1.0,3.5,1.5,1.3,1.2,0.7,0.8,-0.4,-1.6,-2.0,0.0,0.0,0.0,-0.7,-0.5,-1.1,-0.9,-2.2,-2.8,-2.9,-3.6,-1.2,-3.0,-2.4,-1.5,-1.3,-0.9,-0.2,0.3,-0.2,-0.9,-0.6,-1.0,-0.3,0.8,-0.9,-0.6,0.5,0.3,-0.1,1.0,0.3,-0.2,0.4,-0.1,-0.8,0.5,1.0,0.2,-0.2,-0.8,-0.2,-0.1,-0.9,-0.7,-0.4,-1.1,-1.5,-1.9,-1.2,-2.7,-3.6,-1.0,-0.4,-1.3,-1.7,-2.8,-4.7,-2.9,-3.0,-4.1,-4.9,-5.2,-4.9,-8.4,-8.8,-4.6,-6.2,-6.6,-3.6,-4.7,-5.6,-4.5,-5.8,-5.8,-5.8,-9.0,-15.8,-21.1,-18.7,-22.7,-31.8,-36.7,-50.0,-34.4,-12.4,-7.0,-11.7,-11.1,-10.7,-14.9,-15.2,-15.6,-21.4,-15.3,-9.5,-16.6,-20.8,-23.2,-23.3,-27.5,-35.1,-40.0,-44.1,-41.4,-53.5,-34.0,-42.3,-38.8,-37.4,-24.3,-18.2,-18.6,-12.9,-4.7,-6.4,-6.0,2.2,-7.1,-15.2,-9.8,-6.6,-9.8,0.3,0.2,0.6,0.3,7.2,-8.0,19.7,13.9,5.4,-10.9,-13.9,-19.2,-15.7,-16.2,-18.3,-25.5,-26.1,-18.8,-33.7,-18.9,-0.4,-12.3,-3.6,2.0,-30.2,-19.8,11.4,8.6,1.4,-1.7,2.2,-10.6,-3.4,0.4,-6.1,-6.3,0.4,-4.1,-8.3,-10.2,-15.7,-15.6,-32.5,-28.2,-9.8,-2.6,2.1,-1.7,4.7,7.1,18.5,15.7,15.1,7.0,14.4,15.4,19.1,14.1,24.2,3.8,-14.5,-29.3,-25.2,-21.0,-9.1,-11.9,-18.4,-1.1,16.8,34.8,45.4,14.1,-11.3,-12.8,-21.3,-2.9,-11.1,-22.5,-24.0,-45.3,-40.9,-50.6,-40.8,-25.2,-39.0,-39.1,-29.3,-54.2,-36.9,-7.4,-45.4,-45.6,-19.6,-63.9,-120.7,-151.6,-60.4,193.3,92.0,7.3,-20.5,-68.3,-47.1,-36.4,-18.1,-88.9,-141.6,-83.0,-35.7,-11.8,-31.3,18.3,-24.9,-7.9,22.7,30.7,8.1,-5.9,-53.4,-6.5,23.4,43.9,79.3,24.3,58.0,70.0,68.7,-29.1,-2.3,-16.4,-48.2,-36.0,-45.0,-61.1,-58.4,-87.4,-38.6,-19.7,-11.0,4.5,21.8,-13.1,60.0,50.7,-52.1,-139.6,-221.9,-313.1,-285.8,-228.5,-283.0,-286.9,-55.8,61.2,42.6,24.8,11.5,40.4,-17.1,-3.9
7,"            Capital consumption adjustment, corporate",-2.4,-2.5,-2.6,-2.8,-2.9,-3.0,-3.0,-3.0,-2.9,-2.9,-2.8,-2.8,-2.7,-2.7,-2.8,-2.8,-3.0,-3.0,-3.0,-3.0,-2.8,-2.7,-2.5,-2.3,-2.1,-1.9,-1.8,-1.6,-1.5,-1.3,-0.9,-0.4,0.2,0.5,0.6,0.5,0.0,-0.3,-0.4,-0.5,-0.4,-0.4,-0.5,-0.7,-0.9,-1.0,-1.0,-0.8,-0.6,-0.3,0.0,0.3,0.7,1.0,1.1,1.2,1.1,1.4,1.9,2.7,3.8,4.6,5.2,5.6,5.8,5.9,6.1,6.3,6.5,6.7,6.8,7.0,7.2,7.4,7.5,7.6,7.7,7.8,7.9,7.9,7.9,7.9,7.8,7.7,7.5,7.4,7.5,7.5,7.7,7.8,7.7,7.4,7.1,6.7,6.4,6.0,5.7,5.7,5.9,6.5,7.4,8.0,8.2,8.1,7.8,7.2,6.6,5.8,4.8,3.5,1.7,-0.4,-2.9,-4.9,-6.4,-7.3,-7.7,-7.9,-7.9,-7.6,-7.2,-6.9,-6.9,-7.0,-7.4,-7.8,-8.4,-9.0,-9.7,-10.9,-12.6,-14.9,-17.7,-18.6,-17.5,-14.5,-9.5,-5.5,-2.5,-0.4,0.7,2.9,6.1,10.5,15.9,21.1,25.9,30.4,34.7,39.9,46.3,53.6,62.1,66.5,67.1,63.6,56.3,51.3,48.6,48.3,50.4,51.6,52.1,51.7,50.3,48.9,47.6,46.3,45.2,43.1,40.2,36.5,31.8,27.9,24.6,22.0,20.1,18.6,17.6,17.1,17.0,17.1,17.5,18.1,19.0,20.8,23.5,27.2,31.7,35.0,37.2,38.2,37.9,38.4,39.4,41.2,43.5,46.1,49.0,52.1,55.6,58.2,60.1,61.2,61.5,62.9,65.3,68.8,73.4,75.0,73.8,69.8,62.9,57.7,54.2,52.5,48.9,44.7,61.5,91.4,118.8,119.2,114.0,106.5,89.1,107.9,106.1,100.7,86.4,77.8,69.8,54.9,-121.2,-134.5,-144.6,-160.3,-149.7,-160.0,-170.4,-182.2,-170.3,-175.0,-176.8,-176.8,-48.7,-53.5,-63.4,-67.5,-92.3,-80.1,-75.7,-82.3,-95.6,-101.4,-57.3,27.8,62.8,60.5,59.4,58.2,-146.5,-149.0,-148.4,-140.9,-154.3,-151.2,-150.3,-155.9,-142.1,-144.3,-145.4,-141.2,-129.7,-123.6,-120.7,-115.3,-97.1,-103.2,-100.5,-102.7,-86.1,-86.9,-89.5,173.3,99.8,95.1,96.2,103.4,99.2,96.9,95.3,89.8,-89.5,-100.6,-94.3,-83.4,-17.8,-3.8,-6.3,-21.7,-49.0,-69.2,-83.9,-86.0,-177.0,-178.4,-173.4,-178.2,-261.1,-267.6
8,"        Households and institutions",12.6,8.5,12.6,10.4,12.8,16.7,19.9,19.5,15.1,13.2,13.9,12.3,24.2,20.6,13.8,21.5,17.5,28.9,29.2,27.9,27.4,26.2,30.1,27.6,27.9,29.8,29.1,29.9,30.6,27.7,27.0,27.3,26.2,27.5,29.5,29.6,32.1,34.2,35.5,36.8,36.1,38.1,37.8,35.6,37.2,37.2,39.9,41.0,37.9,38.8,35.0,37.2,38.3,36.5,38.6,38.0,41.7,42.6,46.2,47.0,47.4,47.5,46.7,45.2,46.2,46.4,45.9,49.8,51.1,56.3,54.7,59.0,55.5,56.3,62.6,60.6,59.5,59.9,61.6,66.5,72.2,69.9,74.0,75.9,74.2,76.8,68.8,71.9,67.4,70.6,82.5,83.7,88.3,95.4,102.7,103.9,107.7,114.2,113.7,112.1,107.4,102.4,108.7,127.6,121.7,132.7,136.6,152.3,148.7,139.6,140.2,156.5,148.6,188.5,158.9,160.1,156.3,154.8,155.4,151.0,141.9,150.4,160.4,171.1,177.6,167.6,176.5,178.5,194.8,184.9,182.1,185.4,197.0,225.0,234.8,242.8,235.6,239.8,280.5,298.3,290.1,298.9,301.0,274.8,279.1,253.2,252.8,273.5,309.1,321.7,341.3,333.1,278.8,314.8,255.0,283.2,302.3,310.4,279.5,262.7,290.0,216.9,244.5,290.9,295.6,316.2,328.5,328.2,354.6,327.4,320.0,339.7,348.4,372.3,361.1,360.7,388.7,391.2,391.6,432.3,453.3,472.9,447.5,428.3,430.4,409.4,367.1,363.5,344.6,358.4,351.1,374.7,406.9,372.3,373.4,363.5,371.2,366.6,377.3,364.6,362.0,384.6,359.5,381.0,451.7,435.5,423.3,387.9,400.6,304.7,282.8,275.2,296.7,315.1,336.3,319.1,358.5,341.6,494.4,258.0,437.0,474.8,441.5,453.1,425.7,430.2,469.9,433.8,402.1,447.4,405.7,413.0,229.3,207.0,167.2,233.2,309.9,293.8,241.9,258.3,279.5,296.3,249.8,228.1,300.7,512.4,386.3,606.4,616.4,743.2,552.5,587.7,601.8,702.7,696.7,684.4,773.7,749.3,785.9,796.2,909.7,974.1,859.9,1162.5,590.0,650.8,652.2,569.8,667.9,715.1,714.9,750.1,828.3,781.4,766.0,786.6,808.1,726.5,713.3,736.9,789.0,872.1,883.0,822.5,880.2,940.0,1028.5,1138.0,1316.6,1178.1,1117.2,1100.7,1482.3,4429.8,2635.8,2088.2,3867.9,1836.8,1520.4,1157.7,604.1,401.0,592.7,666.6,950.7,1033.1,942.9,942.2,1148.1,1131.4
