date,earnings,price
1871.01,0.40,4.44
1871.02,0.40,4.50
1871.03,0.40,4.61
1871.04,0.40,4.74
1871.05,0.40,4.86
1871.06,0.40,4.82
1871.07,0.40,4.73
1871.08,0.40,4.79
1871.09,0.40,4.84
1871.1,0.40,4.59
1871.11,0.40,4.64
1871.12,0.40,4.74
1872.01,0.40,4.86
1872.02,0.41,4.88
1872.03,0.41,5.04
1872.04,0.41,5.18
1872.05,0.41,5.18
1872.06,0.42,5.13
1872.07,0.42,5.10
1872.08,0.42,5.04
1872.09,0.42,4.95
1872.1,0.43,4.97
1872.11,0.43,4.95
1872.12,0.43,5.07
1873.01,0.43,5.11
1873.02,0.44,5.15
1873.03,0.44,5.11
1873.04,0.44,5.04
1873.05,0.44,5.05
1873.06,0.45,4.98
1873.07,0.45,4.97
1873.08,0.45,4.97
1873.09,0.45,4.59
1873.1,0.46,4.19
1873.11,0.46,4.04
1873.12,0.46,4.42
1874.01,0.46,4.66
1874.02,0.46,4.80
1874.03,0.46,4.73
1874.04,0.46,4.60
1874.05,0.46,4.48
1874.06,0.46,4.46
1874.07,0.46,4.46
1874.08,0.46,4.47
1874.09,0.46,4.54
1874.1,0.46,4.53
1874.11,0.46,4.57
1874.12,0.46,4.54
1875.01,0.45,4.54
1875.02,0.44,4.53
1875.03,0.44,4.59
1875.04,0.43,4.65
1875.05,0.42,4.47
1875.06,0.41,4.38
1875.07,0.40,4.39
1875.08,0.39,4.41
1875.09,0.39,4.37
1875.1,0.38,4.30
1875.11,0.37,4.37
1875.12,0.36,4.37
1876.01,0.35,4.46
1876.02,0.35,4.52
1876.03,0.34,4.51
1876.04,0.33,4.34
1876.05,0.33,4.18
1876.06,0.32,4.15
1876.07,0.31,4.10
1876.08,0.31,3.93
1876.09,0.30,3.69
1876.1,0.29,3.67
1876.11,0.29,3.60
1876.12,0.28,3.58
1877.01,0.28,3.55
1877.02,0.28,3.34
1877.03,0.29,3.17
1877.04,0.29,2.94
1877.05,0.29,2.94
1877.06,0.29,2.73
1877.07,0.29,2.85
1877.08,0.29,3.05
1877.09,0.30,3.24
1877.1,0.30,3.31
1877.11,0.30,3.26
1877.12,0.30,3.25
1878.01,0.30,3.25
1878.02,0.30,3.18
1878.03,0.30,3.24
1878.04,0.30,3.33
1878.05,0.30,3.34
1878.06,0.31,3.41
1878.07,0.31,3.48
1878.08,0.31,3.45
1878.09,0.31,3.52
1878.1,0.31,3.48
1878.11,0.31,3.47
1878.12,0.31,3.45
1879.01,0.32,3.58
1879.02,0.32,3.71
1879.03,0.33,3.65
1879.04,0.33,3.77
1879.05,0.34,3.94
1879.06,0.35,3.96
1879.07,0.35,4.04
1879.08,0.36,4.07
1879.09,0.36,4.22
1879.1,0.37,4.68
1879.11,0.37,4.93
1879.12,0.38,4.92
1880.01,0.39,5.11
1880.02,0.40,5.20
1880.03,0.41,5.30
1880.04,0.42,5.18
1880.05,0.43,4.77
1880.06,0.44,4.79
1880.07,0.44,5.01
1880.08,0.45,5.19
1880.09,0.46,5.18
1880.1,0.47,5.33
1880.11,0.48,5.61
1880.12,0.49,5.84
1881.01,0.49,6.19
1881.02,0.48,6.17
1881.03,0.48,6.24
1881.04,0.47,6.22
1881.05,0.47,6.50
1881.06,0.47,6.58
1881.07,0.46,6.35
1881.08,0.46,6.20
1881.09,0.45,6.25
1881.1,0.45,6.15
1881.11,0.44,6.19
1881.12,0.44,6.01
1882.01,0.44,5.92
1882.02,0.44,5.79
1882.03,0.44,5.78
1882.04,0.44,5.78
1882.05,0.44,5.71
1882.06,0.44,5.68
1882.07,0.43,6.00
1882.08,0.43,6.18
1882.09,0.43,6.24
1882.1,0.43,6.07
1882.11,0.43,5.81
1882.12,0.43,5.84
1883.01,0.43,5.81
1883.02,0.43,5.68
1883.03,0.42,5.75
1883.04,0.42,5.87
1883.05,0.42,5.77
1883.06,0.42,5.82
1883.07,0.41,5.73
1883.08,0.41,5.47
1883.09,0.41,5.53
1883.1,0.41,5.38
1883.11,0.40,5.46
1883.12,0.40,5.34
1884.01,0.39,5.18
1884.02,0.39,5.32
1884.03,0.38,5.30
1884.04,0.37,5.06
1884.05,0.36,4.65
1884.06,0.36,4.46
1884.07,0.35,4.46
1884.08,0.34,4.74
1884.09,0.33,4.59
1884.1,0.33,4.44
1884.11,0.32,4.35
1884.12,0.31,4.34
1885.01,0.31,4.24
1885.02,0.30,4.37
1885.03,0.30,4.38
1885.04,0.30,4.37
1885.05,0.29,4.32
1885.06,0.29,4.30
1885.07,0.29,4.46
1885.08,0.28,4.71
1885.09,0.28,4.65
1885.1,0.28,4.92
1885.11,0.27,5.24
1885.12,0.27,5.20
1886.01,0.28,5.20
1886.02,0.28,5.30
1886.03,0.29,5.19
1886.04,0.29,5.12
1886.05,0.30,5.02
1886.06,0.30,5.25
1886.07,0.31,5.33
1886.08,0.31,5.37
1886.09,0.32,5.51
1886.1,0.32,5.65
1886.11,0.33,5.79
1886.12,0.33,5.64
1887.01,0.33,5.58
1887.02,0.34,5.54
1887.03,0.34,5.67
1887.04,0.34,5.80
1887.05,0.34,5.90
1887.06,0.35,5.73
1887.07,0.35,5.59
1887.08,0.35,5.45
1887.09,0.35,5.38
1887.1,0.36,5.20
1887.11,0.36,5.30
1887.12,0.36,5.27
1888.01,0.35,5.31
1888.02,0.34,5.28
1888.03,0.34,5.08
1888.04,0.33,5.10
1888.05,0.32,5.17
1888.06,0.31,5.01
1888.07,0.30,5.14
1888.08,0.29,5.25
1888.09,0.29,5.38
1888.1,0.28,5.35
1888.11,0.27,5.24
1888.12,0.26,5.14
1889.01,0.26,5.24
1889.02,0.27,5.30
1889.03,0.27,5.19
1889.04,0.27,5.18
1889.05,0.28,5.32
1889.06,0.28,5.41
1889.07,0.28,5.30
1889.08,0.29,5.37
1889.09,0.29,5.50
1889.1,0.29,5.40
1889.11,0.30,5.35
1889.12,0.30,5.32
1890.01,0.30,5.38
1890.02,0.30,5.32
1890.03,0.30,5.28
1890.04,0.30,5.39
1890.05,0.30,5.62
1890.06,0.30,5.58
1890.07,0.29,5.54
1890.08,0.29,5.41
1890.09,0.29,5.32
1890.1,0.29,5.08
1890.11,0.29,4.71
1890.12,0.29,4.60
1891.01,0.29,4.84
1891.02,0.30,4.90
1891.03,0.30,4.81
1891.04,0.31,4.97
1891.05,0.31,4.95
1891.06,0.32,4.85
1891.07,0.32,4.77
1891.08,0.32,4.93
1891.09,0.33,5.33
1891.1,0.33,5.33
1891.11,0.34,5.25
1891.12,0.34,5.41
1892.01,0.34,5.51
1892.02,0.35,5.52
1892.03,0.35,5.58
1892.04,0.35,5.57
1892.05,0.35,5.57
1892.06,0.36,5.54
1892.07,0.36,5.54
1892.08,0.36,5.62
1892.09,0.36,5.48
1892.1,0.37,5.59
1892.11,0.37,5.57
1892.12,0.37,5.51
1893.01,0.36,5.61
1893.02,0.35,5.51
1893.03,0.34,5.31
1893.04,0.33,5.31
1893.05,0.32,4.84
1893.06,0.32,4.61
1893.07,0.31,4.18
1893.08,0.30,4.08
1893.09,0.29,4.37
1893.1,0.28,4.50
1893.11,0.27,4.57
1893.12,0.26,4.41
1894.01,0.25,4.32
1894.02,0.24,4.38
1894.03,0.24,4.51
1894.04,0.23,4.57
1894.05,0.22,4.40
1894.06,0.21,4.34
1894.07,0.20,4.25
1894.08,0.19,4.41
1894.09,0.19,4.48
1894.1,0.18,4.34
1894.11,0.17,4.34
1894.12,0.16,4.30
1895.01,0.17,4.25
1895.02,0.18,4.19
1895.03,0.18,4.19
1895.04,0.19,4.37
1895.05,0.20,4.61
1895.06,0.21,4.70
1895.07,0.21,4.72
1895.08,0.22,4.79
1895.09,0.23,4.82
1895.1,0.24,4.75
1895.11,0.24,4.59
1895.12,0.25,4.32
1896.01,0.25,4.27
1896.02,0.24,4.45
1896.03,0.24,4.38
1896.04,0.24,4.42
1896.05,0.23,4.40
1896.06,0.23,4.32
1896.07,0.23,4.04
1896.08,0.22,3.81
1896.09,0.22,4.01
1896.1,0.22,4.10
1896.11,0.21,4.38
1896.12,0.21,4.22
1897.01,0.22,4.22
1897.02,0.23,4.18
1897.03,0.24,4.19
1897.04,0.24,4.06
1897.05,0.25,4.08
1897.06,0.26,4.27
1897.07,0.27,4.46
1897.08,0.28,4.75
1897.09,0.29,4.98
1897.1,0.29,4.82
1897.11,0.30,4.65
1897.12,0.31,4.75
1898.01,0.31,4.88
1898.02,0.32,4.87
1898.03,0.32,4.65
1898.04,0.32,4.57
1898.05,0.33,4.87
1898.06,0.33,5.06
1898.07,0.33,5.08
1898.08,0.34,5.27
1898.09,0.34,5.26
1898.1,0.34,5.15
1898.11,0.35,5.32
1898.12,0.35,5.65
1899.01,0.36,6.08
1899.02,0.37,6.31
1899.03,0.38,6.40
1899.04,0.39,6.48
1899.05,0.40,6.21
1899.06,0.42,6.07
1899.07,0.43,6.28
1899.08,0.44,6.44
1899.09,0.45,6.37
1899.1,0.46,6.34
1899.11,0.47,6.46
1899.12,0.48,6.02
1900.01,0.48,6.10
1900.02,0.48,6.21
1900.03,0.48,6.26
1900.04,0.48,6.34
1900.05,0.48,6.04
1900.06,0.48,5.86
1900.07,0.48,5.86
1900.08,0.48,5.94
1900.09,0.48,5.80
1900.1,0.48,6.01
1900.11,0.48,6.48
1900.12,0.48,6.87
1901.01,0.48,7.07
1901.02,0.48,7.25
1901.03,0.49,7.51
1901.04,0.49,8.14
1901.05,0.49,7.73
1901.06,0.49,8.50
1901.07,0.49,7.93
1901.08,0.49,8.04
1901.09,0.50,8.00
1901.1,0.50,7.91
1901.11,0.50,8.08
1901.12,0.50,7.95
1902.01,0.51,8.12
1902.02,0.52,8.19
1902.03,0.53,8.20
1902.04,0.54,8.48
1902.05,0.55,8.46
1902.06,0.57,8.41
1902.07,0.58,8.60
1902.08,0.59,8.83
1902.09,0.60,8.85
1902.1,0.61,8.57
1902.11,0.62,8.24
1902.12,0.63,8.05
1903.01,0.62,8.46
1903.02,0.61,8.41
1903.03,0.61,8.08
1903.04,0.60,7.75
1903.05,0.59,7.60
1903.06,0.58,7.18
1903.07,0.57,6.85
1903.08,0.56,6.63
1903.09,0.56,6.47
1903.1,0.55,6.26
1903.11,0.54,6.28
1903.12,0.53,6.57
1904.01,0.53,6.68
1904.02,0.52,6.50
1904.03,0.52,6.48
1904.04,0.52,6.64
1904.05,0.51,6.50
1904.06,0.51,6.51
1904.07,0.51,6.78
1904.08,0.50,7.01
1904.09,0.50,7.32
1904.1,0.50,7.75
1904.11,0.49,8.17
1904.12,0.49,8.25
1905.01,0.51,8.43
1905.02,0.52,8.80
1905.03,0.54,9.05
1905.04,0.55,8.94
1905.05,0.57,8.50
1905.06,0.58,8.60
1905.07,0.60,8.87
1905.08,0.61,9.20
1905.09,0.63,9.23
1905.1,0.64,9.36
1905.11,0.66,9.31
1905.12,0.67,9.54
1906.01,0.68,9.87
1906.02,0.69,9.80
1906.03,0.69,9.56
1906.04,0.70,9.43
1906.05,0.71,9.18
1906.06,0.72,9.30
1906.07,0.72,9.06
1906.08,0.73,9.73
1906.09,0.74,10.03
1906.1,0.75,9.73
1906.11,0.75,9.93
1906.12,0.76,9.84
1907.01,0.75,9.56
1907.02,0.74,9.26
1907.03,0.74,8.35
1907.04,0.73,8.39
1907.05,0.72,8.10
1907.06,0.71,7.84
1907.07,0.70,8.14
1907.08,0.69,7.53
1907.09,0.69,7.45
1907.1,0.68,6.64
1907.11,0.67,6.25
1907.12,0.66,6.57
1908.01,0.65,6.85
1908.02,0.65,6.60
1908.03,0.64,6.87
1908.04,0.63,7.24
1908.05,0.63,7.63
1908.06,0.62,7.64
1908.07,0.61,7.92
1908.08,0.61,8.26
1908.09,0.60,8.17
1908.1,0.59,8.27
1908.11,0.59,8.83
1908.12,0.58,9.03
1909.01,0.60,9.06
1909.02,0.61,8.80
1909.03,0.63,8.92
1909.04,0.64,9.32
1909.05,0.66,9.63
1909.06,0.67,9.80
1909.07,0.69,9.94
1909.08,0.70,10.18
1909.09,0.72,10.19
1909.1,0.73,10.23
1909.11,0.75,10.18
1909.12,0.76,10.30
1910.01,0.76,10.08
1910.02,0.76,9.72
1910.03,0.75,9.96
1910.04,0.75,9.72
1910.05,0.75,9.56
1910.06,0.75,9.10
1910.07,0.74,8.64
1910.08,0.74,8.85
1910.09,0.74,8.91
1910.1,0.74,9.32
1910.11,0.73,9.31
1910.12,0.73,9.05
1911.01,0.72,9.27
1911.02,0.71,9.43
1911.03,0.70,9.32
1911.04,0.68,9.28
1911.05,0.67,9.48
1911.06,0.66,9.67
1911.07,0.65,9.63
1911.08,0.64,9.17
1911.09,0.63,8.67
1911.1,0.61,8.72
1911.11,0.60,9.07
1911.12,0.59,9.11
1912.01,0.60,9.12
1912.02,0.61,9.04
1912.03,0.62,9.30
1912.04,0.63,9.59
1912.05,0.64,9.58
1912.06,0.65,9.58
1912.07,0.65,9.59
1912.08,0.66,9.81
1912.09,0.67,9.86
1912.1,0.68,9.84
1912.11,0.69,9.73
1912.12,0.70,9.38
1913.01,0.69,9.30
1913.02,0.69,8.97
1913.03,0.68,8.80
1913.04,0.68,8.79
1913.05,0.67,8.55
1913.06,0.67,8.12
1913.07,0.66,8.23
1913.08,0.65,8.45
