Table 1.12. National Income by Type of Income
Table 1.12. National Income by Type of Income
"Last Revised on: August 29, 2024 - Next Release Date September 26, 2024"
Line,,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969,1970,1970,1970,1970,1971,1971,1971,1971,1972,1972,1972,1972,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
1,"        National income",213.0,215.6,219.2,227.2,235.8,244.0,248.8,250.7,243.3,239.7,239.9,236.0,246.3,258.5,275.6,286.1,297.8,305.2,310.6,317.0,318.5,320.4,327.0,338.5,344.5,347.3,345.6,338.0,339.6,339.9,343.3,352.2,364.6,374.0,381.4,387.7,391.2,397.0,401.9,410.1,416.8,418.9,422.6,415.8,409.7,411.6,424.5,437.2,448.3,462.4,459.6,464.8,478.1,478.8,480.2,478.5,480.3,489.9,499.7,514.2,523.4,530.5,536.9,544.9,551.8,560.9,569.4,579.4,591.7,601.8,613.2,621.4,640.0,651.2,662.4,681.8,702.0,711.8,723.1,735.5,741.8,748.4,763.8,779.7,800.5,821.5,841.0,858.0,874.6,890.1,908.1,916.3,921.1,933.2,947.7,948.0,984.6,1004.4,1022.4,1044.7,1077.9,1098.2,1127.9,1174.0,1211.0,1235.7,1264.0,1301.9,1313.9,1334.6,1360.6,1376.5,1383.4,1413.8,1471.7,1515.3,1565.6,1591.3,1623.6,1656.9,1704.1,1770.3,1825.0,1871.9,1910.5,2006.3,2054.8,2119.1,2172.7,2212.5,2264.9,2311.4,2353.3,2356.5,2422.8,2542.6,2630.8,2676.7,2770.0,2782.7,2786.2,2833.8,2853.1,2865.7,2924.6,3004.3,3085.3,3192.4,3320.9,3408.9,3474.6,3532.0,3593.1,3641.5,3703.1,3742.9,3793.6,3804.4,3842.5,3885.4,3954.2,4053.8,4146.8,4240.0,4329.4,4421.6,4514.3,4621.8,4697.9,4732.5,4785.6,4825.1,4927.3,5014.3,5043.1,5071.1,5093.6,5134.1,5185.5,5245.3,5369.3,5452.2,5492.9,5588.3,5597.0,5697.4,5744.6,5884.2,5950.3,6074.1,6164.9,6272.1,6332.6,6397.8,6498.6,6583.6,6701.9,6828.7,6910.7,7045.3,7159.8,7274.3,7424.2,7546.9,7638.4,7768.9,7901.6,7998.6,8153.3,8215.6,8313.8,8487.1,8710.2,8816.9,8947.9,9020.9,9153.0,9186.5,9132.1,9126.4,9238.9,9349.0,9430.8,9575.7,9594.3,9724.6,9894.2,10067.1,10240.0,10417.7,10622.5,10720.4,10925.5,11090.1,11273.9,11510.2,11781.3,11915.4,12020.4,12073.6,12170.3,12331.6,12317.2,12400.3,12405.1,12428.2,12511.7,12114.7,11895.8,11942.1,12087.1,12336.3,12482.2,12689.8,12942.5,13064.5,13144.6,13332.0,13458.5,13615.3,13982.7,14043.9,13968.4,14264.1,14294.2,14413.4,14492.6,14636.2,14776.1,15079.3,15342.9,15459.9,15544.5,15680.2,15737.1,15779.0,15845.3,15851.2,16000.5,16204.1,16419.9,16541.1,16739.6,17052.2,17270.3,17478.5,17694.6,17839.7,18072.8,18180.4,18338.2,18532.6,18471.8,16376.3,17857.7,18710.4,19166.6,19630.7,20077.2,20764.3,21149.8,21637.6,21972.7,21953.5,22136.9,22241.8,22522.2,22817.5,23056.9,23232.3
2,Compensation of employees,129.0,130.8,132.8,136.9,140.4,142.1,146.8,147.9,146.3,144.7,143.6,142.8,147.0,153.6,162.3,170.2,178.6,184.9,187.9,191.5,196.1,197.4,201.5,209.3,213.1,216.2,216.5,215.1,213.1,212.7,213.2,217.5,221.9,228.1,233.9,238.4,242.8,247.5,250.4,256.4,260.2,262.1,264.7,263.3,259.8,259.4,267.2,272.3,279.7,286.5,286.9,290.2,298.7,301.7,302.6,302.1,303.1,307.3,312.3,318.9,325.5,331.4,334.2,337.7,342.7,347.6,352.6,358.8,365.2,372.6,380.0,386.1,392.9,399.9,408.3,420.5,433.1,444.4,455.7,463.8,470.0,475.6,485.3,496.2,510.9,524.0,537.8,550.3,562.8,576.7,593.4,604.9,615.0,620.2,628.2,630.0,647.9,659.8,670.1,682.2,708.4,722.5,735.7,758.8,785.4,803.2,820.4,841.7,858.3,878.5,900.2,913.8,918.4,931.2,956.0,983.4,1014.7,1035.5,1058.4,1084.8,1113.3,1150.3,1182.1,1217.6,1250.9,1299.1,1336.9,1380.2,1422.5,1454.7,1496.7,1534.9,1573.6,1599.2,1628.6,1687.6,1739.6,1774.8,1815.1,1840.7,1864.7,1884.4,1904.8,1918.1,1947.2,1986.3,2029.6,2086.8,2143.8,2195.2,2241.6,2282.9,2323.5,2363.6,2406.4,2455.7,2491.1,2517.2,2555.2,2604.7,2647.8,2692.0,2740.3,2809.6,2857.6,2923.1,2975.8,3035.4,3079.1,3114.6,3155.0,3209.7,3272.8,3334.7,3372.5,3381.5,3387.5,3427.6,3469.9,3517.0,3595.7,3651.9,3688.5,3736.9,3745.6,3800.2,3834.1,3889.3,3913.4,3991.5,4031.8,4088.1,4134.4,4172.9,4219.7,4265.3,4314.5,4387.5,4451.2,4514.5,4592.4,4660.0,4738.9,4844.0,4942.0,5028.3,5114.9,5199.4,5287.0,5343.9,5424.0,5555.9,5749.2,5791.7,5903.9,5943.7,6050.1,6040.9,6024.6,6037.8,6060.7,6129.1,6156.9,6193.7,6213.2,6307.3,6393.7,6500.2,6541.3,6668.5,6803.7,6864.5,6926.3,7005.6,7122.6,7209.9,7379.7,7428.0,7487.3,7623.6,7806.0,7845.2,7885.2,7977.5,8054.9,8054.9,8074.4,8043.2,7730.4,7762.0,7746.5,7797.2,7767.6,7910.6,7982.2,8041.0,8170.1,8206.4,8287.3,8240.9,8456.4,8503.8,8546.1,8763.2,8732.6,8819.6,8845.6,8942.5,9114.2,9172.4,9280.6,9433.5,9563.8,9666.2,9751.7,9816.0,9851.7,9905.2,9998.5,10109.1,10224.3,10335.9,10478.4,10658.9,10783.0,10891.0,11042.0,11113.5,11329.7,11390.1,11454.7,11617.1,11780.7,11051.0,11565.7,11981.3,12078.0,12390.2,12689.9,13025.3,13177.4,13295.2,13609.2,13675.0,13965.2,14154.1,14368.7,14448.1,14644.9,14820.7
3,"    Wages and salaries",118.9,121.3,124.0,128.3,131.7,133.4,138.1,139.1,136.7,135.0,134.0,133.2,136.9,143.0,151.0,158.1,165.3,171.0,173.5,176.6,181.0,182.1,186.0,193.5,197.1,200.0,200.1,198.7,196.4,196.0,196.3,200.4,204.1,209.9,215.2,219.5,223.3,227.5,230.0,235.4,238.3,239.6,241.8,240.1,236.7,236.3,243.8,248.4,254.0,260.6,260.9,263.9,270.7,273.4,274.0,273.3,273.8,277.6,282.3,288.4,293.3,298.7,301.2,304.2,308.0,312.4,316.8,322.2,328.2,334.8,341.4,346.7,352.8,358.9,366.2,377.1,385.8,395.9,406.1,413.5,418.8,423.6,432.0,441.6,454.2,465.9,478.3,489.4,499.1,511.4,526.4,536.5,545.1,549.1,555.7,556.4,570.5,580.4,588.8,598.4,618.5,630.4,642.3,664.0,683.4,700.2,716.2,735.3,748.2,765.3,783.1,792.5,791.9,800.4,821.3,845.8,871.2,889.4,908.5,929.9,950.0,980.9,1007.5,1038.2,1063.8,1106.0,1138.0,1174.4,1208.6,1234.4,1269.4,1300.9,1333.8,1353.9,1377.3,1428.7,1467.7,1496.7,1530.6,1550.6,1567.5,1581.7,1596.4,1604.4,1622.4,1654.7,1691.4,1741.5,1784.0,1828.1,1867.1,1900.5,1932.1,1963.6,1997.4,2037.0,2063.5,2081.8,2111.5,2152.5,2192.7,2229.9,2270.8,2331.7,2366.2,2421.5,2462.9,2508.6,2540.8,2563.5,2592.3,2635.7,2684.4,2738.8,2769.3,2772.2,2771.7,2800.1,2828.1,2858.0,2912.9,2952.0,2976.6,3020.8,3015.9,3066.5,3093.6,3141.4,3152.7,3223.3,3258.7,3311.6,3358.1,3395.2,3438.9,3479.9,3524.4,3590.0,3647.2,3704.3,3776.4,3835.6,3903.0,3992.4,4074.9,4145.5,4217.4,4288.7,4364.6,4409.3,4473.7,4584.1,4751.5,4779.1,4871.3,4898.0,4979.5,4961.4,4935.9,4937.8,4945.9,4998.3,5012.1,5027.1,5027.0,5101.4,5168.7,5256.0,5274.5,5380.7,5492.8,5536.1,5574.6,5637.8,5738.3,5814.8,5971.4,6012.6,6061.9,6181.1,6343.8,6370.3,6397.6,6473.9,6539.4,6532.7,6547.2,6517.2,6225.6,6254.5,6237.2,6279.2,6233.2,6360.7,6422.5,6473.6,6577.3,6608.2,6681.6,6637.6,6836.3,6876.0,6906.1,7094.2,7043.9,7103.0,7112.9,7196.3,7358.6,7409.4,7503.0,7634.3,7746.2,7830.8,7903.0,7958.0,7992.7,8039.2,8119.3,8213.7,8311.0,8402.1,8518.3,8666.3,8762.5,8843.4,8969.0,9024.3,9222.0,9273.3,9328.9,9475.7,9627.0,8998.0,9433.7,9799.8,9878.7,10170.0,10447.7,10754.1,10886.7,10988.9,11271.4,11317.0,11565.4,11733.3,11917.5,11976.0,12138.9,12290.0
4,"        Government",17.1,17.3,17.6,18.0,18.3,18.6,19.3,19.9,20.4,20.7,21.1,21.2,21.2,21.8,23.0,24.5,26.7,28.5,30.2,31.5,32.4,33.1,33.8,34.2,34.3,34.4,34.3,34.4,34.4,34.7,35.1,35.4,35.5,36.2,37.4,37.3,37.8,38.5,39.2,39.7,40.2,40.7,41.5,41.6,42.0,43.1,46.1,45.3,45.5,45.8,46.2,46.7,47.7,48.6,49.9,50.5,51.1,51.8,52.8,54.2,55.3,56.0,56.5,57.6,58.6,59.4,60.2,61.9,63.1,64.2,65.7,66.8,67.5,68.5,70.5,73.2,74.9,76.9,79.8,82.0,83.5,85.0,87.1,90.4,92.8,95.2,98.7,100.1,101.3,103.1,108.2,109.8,114.4,116.5,118.3,119.7,123.9,125.6,128.0,129.6,134.2,135.7,138.4,143.3,145.0,147.2,149.6,153.4,155.6,158.2,161.3,166.9,170.5,174.5,177.8,182.2,184.8,187.3,189.5,194.1,196.7,199.7,203.7,210.3,213.6,217.3,222.4,226.8,231.3,233.5,239.4,244.3,250.2,260.6,264.2,270.8,277.3,282.6,288.6,294.8,300.8,305.4,309.5,314.5,318.7,322.6,326.7,331.2,337.8,344.8,351.9,358.1,363.9,370.4,378.1,383.0,387.9,393.6,399.4,407.9,413.5,419.9,425.1,433.9,441.7,448.5,454.5,463.4,469.5,476.9,485.1,493.0,503.5,518.7,523.9,530.1,539.6,546.0,551.6,557.8,564.2,569.8,575.2,578.8,582.8,586.6,591.8,594.8,601.1,607.2,612.5,617.2,622.4,627.5,630.9,635.3,640.0,645.6,650.7,656.0,662.3,668.0,674.1,683.2,689.8,697.4,705.6,712.4,718.1,727.0,738.6,751.4,765.2,778.6,783.8,791.5,801.8,814.0,828.9,843.3,855.1,868.2,879.8,888.4,901.2,911.9,917.8,924.9,936.6,948.3,956.6,967.9,977.8,986.1,995.5,1005.8,1014.6,1025.8,1041.9,1055.8,1071.6,1080.5,1093.6,1108.5,1124.8,1136.0,1151.2,1163.4,1162.8,1176.0,1179.0,1183.1,1185.8,1196.6,1191.3,1191.1,1193.1,1199.2,1197.6,1189.5,1198.7,1195.8,1196.8,1202.0,1206.4,1206.8,1204.8,1214.0,1221.9,1230.6,1241.5,1253.7,1263.2,1273.0,1280.2,1286.7,1294.4,1302.6,1314.1,1321.0,1331.5,1340.3,1353.3,1367.7,1381.6,1395.0,1411.5,1419.4,1424.5,1436.5,1459.4,1482.2,1513.2,1466.2,1498.8,1499.2,1510.6,1530.7,1566.8,1577.0,1594.3,1607.2,1632.2,1656.2,1685.8,1710.9,1753.3,1787.4,1825.5,1853.4
5,"        Other",101.7,103.9,106.4,110.3,113.4,114.7,118.8,119.2,116.4,114.3,112.9,112.0,115.6,121.2,128.1,133.5,138.6,142.5,143.3,145.1,148.6,149.0,152.2,159.3,162.7,165.7,165.9,164.3,162.0,161.2,161.2,165.0,168.6,173.6,177.8,182.2,185.4,189.0,190.8,195.7,198.0,198.9,200.3,198.5,194.7,193.2,197.7,203.2,208.6,214.7,214.7,217.2,223.0,224.8,224.1,222.8,222.7,225.8,229.5,234.2,238.0,242.8,244.7,246.6,249.3,253.0,256.7,260.3,265.1,270.7,275.7,279.9,285.4,290.3,295.7,304.0,310.8,319.0,326.3,331.5,335.4,338.6,344.9,351.2,361.5,370.7,379.6,389.4,397.8,408.3,418.3,426.6,430.7,432.6,437.4,436.6,446.6,454.8,460.8,468.8,484.3,494.7,503.9,520.7,538.3,553.0,566.6,582.0,592.5,607.1,621.8,625.6,621.4,625.9,643.5,663.6,686.4,702.1,719.0,735.8,753.3,781.2,803.8,827.9,850.3,888.8,915.6,947.6,977.2,1000.9,1030.0,1056.6,1083.6,1093.3,1113.1,1157.9,1190.3,1214.1,1241.9,1255.8,1266.8,1276.3,1286.9,1289.9,1303.7,1332.1,1364.7,1410.4,1446.2,1483.4,1515.2,1542.4,1568.2,1593.2,1619.3,1654.0,1675.6,1688.3,1712.0,1744.6,1779.1,1810.0,1845.7,1897.8,1924.4,1973.0,2008.3,2045.2,2071.3,2086.6,2107.1,2142.7,2180.9,2220.1,2245.5,2242.1,2232.1,2254.1,2276.5,2300.2,2348.7,2382.2,2401.4,2442.0,2433.1,2479.8,2501.9,2546.5,2551.6,2616.2,2646.2,2694.4,2735.7,2767.7,2808.0,2844.6,2884.4,2944.3,2996.5,3048.2,3114.1,3167.7,3228.9,3309.2,3385.1,3448.1,3511.8,3576.2,3646.5,3682.3,3735.1,3832.7,3986.3,4000.5,4087.5,4106.4,4177.7,4147.4,4107.0,4094.4,4090.7,4130.2,4132.3,4138.7,4125.8,4189.4,4251.0,4331.0,4337.9,4432.5,4536.1,4568.2,4596.8,4651.7,4742.8,4809.0,4956.8,4986.8,5019.9,5125.3,5272.1,5289.8,5304.0,5365.5,5414.6,5396.7,5396.0,5353.8,5062.8,5078.4,5058.2,5096.1,5047.5,5164.1,5231.3,5282.5,5384.2,5409.0,5484.0,5448.1,5637.6,5680.2,5709.2,5892.2,5837.5,5896.2,5908.0,5982.3,6136.8,6178.8,6261.6,6380.6,6483.0,6557.8,6622.8,6671.3,6698.3,6736.7,6805.2,6892.7,6979.5,7061.8,7165.0,7298.6,7381.0,7448.4,7557.5,7604.9,7797.4,7836.8,7869.6,7993.5,8113.8,7531.8,7934.9,8300.7,8368.1,8639.2,8880.9,9177.2,9292.4,9381.7,9639.2,9660.8,9879.6,10022.3,10164.2,10188.6,10313.4,10436.6
6,"    Supplements to wages and salaries",10.1,9.5,8.8,8.6,8.7,8.7,8.8,8.8,9.5,9.7,9.6,9.6,10.1,10.6,11.3,12.1,13.2,13.9,14.4,14.9,15.1,15.3,15.6,15.9,16.1,16.2,16.4,16.4,16.7,16.7,16.9,17.2,17.8,18.2,18.7,18.9,19.5,20.0,20.5,21.0,22.0,22.4,22.9,23.2,23.0,23.2,23.4,23.8,25.7,25.9,26.0,26.3,28.0,28.3,28.6,28.8,29.3,29.7,30.1,30.5,32.2,32.7,33.1,33.4,34.7,35.2,35.8,36.5,37.0,37.8,38.6,39.4,40.1,41.0,42.1,43.3,47.3,48.5,49.5,50.3,51.2,52.0,53.3,54.7,56.7,58.1,59.5,60.9,63.7,65.3,67.0,68.5,69.9,71.2,72.5,73.7,77.4,79.3,81.3,83.7,89.9,92.1,93.4,94.8,102.1,103.0,104.2,106.4,110.2,113.2,117.1,121.3,126.5,130.8,134.7,137.6,143.5,146.1,149.9,154.9,163.2,169.4,174.6,179.4,187.1,193.1,198.9,205.8,214.0,220.4,227.3,234.0,239.8,245.3,251.3,258.9,271.9,278.1,284.5,290.1,297.1,302.6,308.3,313.8,324.8,331.6,338.2,345.3,359.8,367.0,374.6,382.4,391.4,400.0,409.0,418.7,427.6,435.4,443.8,452.2,455.1,462.1,469.5,477.8,491.4,501.6,513.0,526.9,538.3,551.1,562.8,574.1,588.3,595.9,603.2,609.3,615.8,627.5,641.8,659.0,682.8,699.9,712.0,716.1,729.6,733.8,740.5,747.9,760.7,768.2,773.0,776.5,776.3,777.7,780.8,785.4,790.1,797.6,804.0,810.2,816.0,824.3,835.9,851.6,867.1,882.8,897.4,910.7,922.3,934.6,950.3,971.8,997.7,1012.7,1032.7,1045.8,1070.7,1079.5,1088.6,1100.0,1114.9,1130.8,1144.8,1166.6,1186.2,1205.9,1225.0,1244.3,1266.8,1287.7,1310.9,1328.4,1351.6,1367.7,1384.4,1395.2,1408.3,1415.4,1425.4,1442.6,1462.2,1474.8,1487.6,1503.6,1515.5,1522.2,1527.2,1526.0,1504.8,1507.5,1509.3,1518.1,1534.4,1549.9,1559.7,1567.4,1592.8,1598.2,1605.7,1603.3,1620.1,1627.8,1640.0,1669.0,1688.7,1716.6,1732.7,1746.2,1755.6,1763.1,1777.6,1799.2,1817.7,1835.4,1848.7,1858.0,1858.9,1866.0,1879.2,1895.3,1913.3,1933.8,1960.1,1992.7,2020.5,2047.6,2073.0,2089.2,2107.8,2116.8,2125.8,2141.4,2153.7,2053.0,2132.0,2181.5,2199.3,2220.3,2242.2,2271.2,2290.7,2306.2,2337.8,2357.9,2399.8,2420.9,2451.2,2472.1,2506.0,2530.7
7,"        Employer contributions for employee pension and insurance funds1",5.5,5.2,5.2,5.4,5.5,5.7,5.8,6.0,6.0,6.1,6.3,6.5,6.9,7.3,7.9,8.5,9.2,9.8,10.3,10.7,11.0,11.2,11.4,11.6,11.9,12.0,12.1,12.2,12.1,12.1,12.3,12.5,12.8,13.1,13.4,13.7,14.0,14.3,14.8,15.2,15.6,16.0,16.5,16.9,16.7,16.9,17.0,17.4,18.0,18.0,18.2,18.4,18.7,19.1,19.3,19.6,19.9,20.1,20.4,20.7,21.2,21.5,21.8,22.1,22.5,22.9,23.3,23.9,24.5,25.2,25.9,26.6,27.3,28.1,29.0,29.9,30.9,31.8,32.5,33.1,33.6,34.3,35.1,36.1,37.2,38.3,39.4,40.4,41.6,42.8,44.0,45.1,46.2,47.3,48.5,49.8,51.3,52.9,54.8,56.9,59.3,61.1,62.3,63.0,63.3,63.7,64.3,65.3,66.6,68.7,71.8,75.9,80.7,84.8,87.7,89.4,90.4,92.2,95.1,99.2,104.2,108.8,112.9,116.4,119.4,122.6,126.3,130.3,134.7,139.0,143.5,148.1,152.9,157.7,162.2,166.7,171.0,175.3,179.7,184.1,188.5,193.2,198.0,203.1,208.4,213.2,217.5,221.3,224.7,228.9,234.0,240.0,247.0,253.8,260.4,266.9,273.1,279.1,284.9,290.4,292.4,297.5,302.4,307.2,312.1,318.6,326.8,336.8,348.1,358.8,368.2,376.4,386.3,390.3,394.7,399.6,405.2,413.6,425.1,439.7,456.8,471.0,481.4,488.1,491.7,495.6,500.2,505.7,511.4,515.4,517.6,517.4,515.6,514.9,515.6,517.8,521.0,524.4,527.3,530.0,532.7,537.4,544.7,554.7,566.7,578.0,587.9,596.6,604.1,613.9,626.3,641.4,657.1,671.3,684.6,694.9,712.9,721.6,731.2,741.3,753.2,764.8,777.3,797.6,812.2,826.2,839.9,852.8,868.0,881.6,897.1,912.2,930.6,943.1,953.4,959.5,964.7,970.1,978.5,989.2,1002.5,1015.0,1026.8,1037.3,1045.8,1051.9,1054.4,1053.3,1048.8,1048.1,1051.5,1058.9,1070.3,1080.4,1088.9,1095.9,1102.0,1106.4,1109.5,1111.1,1112.1,1117.8,1128.8,1145.1,1168.4,1190.7,1205.9,1214.0,1216.1,1221.3,1229.9,1242.5,1256.2,1267.9,1276.3,1281.9,1284.4,1288.7,1296.5,1306.1,1318.5,1333.4,1352.8,1376.5,1403.6,1426.7,1444.3,1456.6,1463.1,1469.0,1475.3,1482.1,1487.7,1417.6,1473.4,1507.3,1519.9,1523.8,1528.3,1535.4,1544.0,1550.6,1562.2,1579.6,1598.8,1609.7,1628.5,1645.7,1664.6,1679.7
8,"        Employer contributions for government social insurance",4.7,4.3,3.5,3.2,3.2,3.0,2.9,2.9,3.5,3.5,3.3,3.0,3.3,3.3,3.4,3.6,4.0,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.3,4.2,4.6,4.6,4.6,4.6,5.0,5.1,5.2,5.3,5.6,5.7,5.7,5.8,6.4,6.4,6.4,6.3,6.3,6.3,6.4,6.4,7.8,7.9,7.9,7.9,9.3,9.3,9.3,9.2,9.5,9.6,9.6,9.8,11.0,11.2,11.2,11.3,12.2,12.3,12.5,12.6,12.4,12.6,12.7,12.8,12.8,13.0,13.2,13.4,16.5,16.7,17.0,17.2,17.6,17.8,18.2,18.6,19.4,19.8,20.1,20.5,22.1,22.5,23.0,23.4,23.7,23.9,23.9,23.9,26.1,26.4,26.5,26.8,30.6,31.0,31.2,31.8,38.7,39.3,39.9,41.1,43.6,44.5,45.3,45.4,45.7,46.0,47.0,48.2,53.1,53.9,54.9,55.7,59.1,60.6,61.7,63.0,67.6,70.4,72.6,75.4,79.2,81.4,83.9,85.9,86.9,87.6,89.1,92.2,100.9,102.7,104.8,106.0,108.6,109.5,110.3,110.7,116.4,118.4,120.7,124.0,135.1,138.1,140.5,142.4,144.4,146.2,148.6,151.8,154.5,156.3,158.9,161.8,162.7,164.6,167.1,170.6,179.2,183.0,186.2,190.0,190.1,192.3,194.6,197.7,202.0,205.6,208.5,209.6,210.6,213.9,216.8,219.3,226.0,229.0,230.6,228.0,238.0,238.2,240.3,242.2,249.3,252.8,255.5,259.0,260.8,262.8,265.3,267.7,269.1,273.2,276.7,280.3,283.3,286.9,291.2,297.0,300.4,304.9,309.5,314.1,318.2,320.7,324.0,330.5,340.6,341.4,348.1,350.8,357.8,358.0,357.4,358.7,361.6,366.0,367.5,369.0,374.0,379.8,385.0,391.4,398.8,406.1,413.9,416.2,421.1,424.6,430.9,435.6,443.6,445.3,447.0,453.3,459.7,459.8,460.9,466.3,469.7,470.4,472.8,472.7,456.0,459.4,457.8,459.2,464.1,469.5,470.8,471.5,490.8,491.8,496.2,492.2,508.0,510.0,511.2,523.9,520.4,525.9,526.8,532.1,539.5,541.8,547.7,556.7,561.5,567.5,572.4,576.1,574.5,577.3,582.7,589.2,594.8,600.4,607.3,616.2,616.9,620.9,628.7,632.6,644.6,647.8,650.5,659.3,666.1,635.4,658.6,674.2,679.4,696.5,713.9,735.8,746.6,755.6,775.6,778.3,800.9,811.2,822.7,826.4,841.4,851.0
